Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,45.785716,0.000000,0.000000,0.997080,0.989451,0.987268,0.969771,0.989334,0.995118,0.794142,0.956490,0.978002,0.987512,92.959676,
1,44.078075,13.713395,13.713395,0.995850,0.985068,0.982400,0.956254,0.981204,0.995298,0.747525,0.940015,0.969316,0.981602,100.000000,
2,43.335847,10.807411,15.104665,0.995351,0.982400,0.981080,0.950351,0.978010,0.992847,0.717017,0.929891,0.964945,0.979641,100.000000,
3,43.193117,9.536326,10.807411,0.995305,0.978337,0.978669,0.956106,0.974186,0.987027,0.718545,0.925176,0.960273,0.976510,100.000000,
4,43.113958,9.536326,9.536326,0.995276,0.982226,0.978696,0.952255,0.975917,0.993277,0.714998,0.925454,0.961311,0.977071,100.000000,
5,43.913233,15.458418,15.731062,0.995286,0.985831,0.981519,0.963780,0.982726,0.994086,0.730709,0.934221,0.966524,0.980647,100.000000,
6,43.993933,5.842316,15.458418,0.995708,0.983797,0.982795,0.956621,0.981266,0.992279,0.737292,0.939614,0.968635,0.981289,98.220125,
7,43.592535,5.842316,5.842316,0.995514,0.982187,0.980974,0.961554,0.979468,0.989536,0.727353,0.933565,0.964825,0.978981,97.494188,
8,43.503361,8.549697,9.998305,0.995739,0.982013,0.979312,0.956526,0.978935,0.991032,0.724774,0.935645,0.966867,0.980891,100.000000,
9,43.656034,7.476825,8.549697,0.995710,0.983907,0.980363,0.958500,0.982649,0.992238,0.730026,0.936385,0.967074,0.980270,100.000000,
10,43.387362,7.451832,7.476825,0.995737,0.984378,0.978074,0.959733,0.982605,0.993339,0.721408,0.936030,0.967109,0.980634,100.000000,
11,43.482825,7.451832,7.451832,0.995561,0.983644,0.980377,0.956763,0.981639,0.992897,0.727171,0.934109,0.965867,0.979700,99.836842,
12,43.443590,8.177838,13.652317,0.995824,0.983624,0.977973,0.955663,0.982544,0.992870,0.721363,0.936616,0.967631,0.980894,100.000000,
13,44.414624,8.177838,8.177838,0.996391,0.987751,0.982805,0.960357,0.988143,0.995372,0.747284,0.948617,0.974664,0.985240,100.000000,
14,44.457349,5.672426,11.187496,0.996629,0.984808,0.981571,0.960072,0.983711,0.992609,0.750584,0.951202,0.975846,0.985933,98.969651,
15,44.171770,5.672426,5.672426,0.996616,0.983969,0.979992,0.959892,0.982479,0.992668,0.745451,0.948968,0.975063,0.985867,98.734981,
16,43.901377,6.939637,6.939637,0.996543,0.987443,0.978510,0.961454,0.988156,0.995882,0.736276,0.948250,0.974987,0.985916,100.000000,
17,44.299459,10.004850,10.004850,0.996429,0.986336,0.981786,0.962902,0.983031,0.995317,0.750876,0.949153,0.975320,0.985796,100.000000,
18,44.573800,10.555957,12.266700,0.996466,0.985090,0.981177,0.959581,0.982001,0.993697,0.752360,0.950260,0.975473,0.985610,100.000000,
19,43.947389,10.309305,10.555957,0.996523,0.980782,0.976932,0.954454,0.979302,0.989468,0.735554,0.944111,0.971643,0.983736,100.000000,
20,45.107712,10.309305,10.309305,0.996623,0.987936,0.984217,0.960681,0.986705,0.995814,0.763728,0.956666,0.978697,0.987634,100.000000,
21,44.887400,14.313181,14.946738,0.996616,0.986409,0.979428,0.961983,0.983784,0.995386,0.755146,0.954002,0.976909,0.986082,100.000000,
22,45.309289,9.933944,14.313181,0.996786,0.984881,0.983483,0.959677,0.981404,0.992967,0.769833,0.955603,0.978085,0.987146,100.000000,
23,44.970590,8.458784,9.933944,0.996883,0.986111,0.980876,0.964514,0.985255,0.993479,0.759935,0.956539,0.978473,0.987447,100.000000,
24,45.150365,8.458784,8.458784,0.996833,0.987784,0.983556,0.969051,0.985185,0.995047,0.768217,0.954826,0.977232,0.987001,100.000000,
25,45.102245,8.227978,9.402710,0.996857,0.989260,0.982834,0.963448,0.990771,0.996312,0.767710,0.956719,0.978742,0.987597,100.000000,
26,44.921593,4.295971,8.227978,0.996896,0.986622,0.980076,0.966859,0.984964,0.994302,0.759880,0.958745,0.979878,0.988304,98.063434,
27,44.747449,4.295971,4.295971,0.997118,0.985984,0.975185,0.969208,0.983911,0.994033,0.756678,0.958463,0.979848,0.988576,97.942253,
28,45.124980,7.025203,7.819634,0.997057,0.988367,0.982326,0.968831,0.987537,0.995296,0.766825,0.957231,0.978866,0.987613,100.000000,
29,44.909058,2.654978,7.025203,0.997018,0.987130,0.981035,0.965631,0.984690,0.995776,0.759924,0.955843,0.978558,0.987829,95.986824,
30,44.645753,1.883448,2.654978,0.997118,0.984883,0.977386,0.963415,0.983197,0.993579,0.753628,0.953664,0.977006,0.986897,94.355905,
31,44.596886,1.883448,1.883448,0.996860,0.983516,0.978152,0.961549,0.981571,0.992191,0.755977,0.950262,0.975282,0.985915,93.892109,
32,44.664884,5.682561,5.682561,0.996619,0.986793,0.982333,0.958258,0.984438,0.995981,0.752277,0.950978,0.976208,0.986372,99.466627,
33,44.070605,13.015589,13.015589,0.996322,0.981434,0.977618,0.954883,0.977306,0.991373,0.733043,0.941274,0.970839,0.983443,100.000000,
34,44.997420,15.057634,15.057634,0.996302,0.987066,0.986436,0.962331,0.985173,0.994927,0.758610,0.947331,0.973975,0.984906,100.000000,
35,44.859078,4.307372,18.824623,0.996844,0.985791,0.984173,0.959863,0.985513,0.993376,0.761132,0.951676,0.975767,0.985870,97.494540,
36,44.772218,4.307372,4.307372,0.996599,0.987992,0.983465,0.963661,0.987787,0.995220,0.756873,0.949614,0.974980,0.985518,97.902639,
