Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,46.323803,0.998280,0.988695,0.986312,0.970366,0.987992,0.994397,0.813633,0.967386,0.984356,0.991419,93.419495,
1,13.713395,13.713395,45.361105,0.997906,0.988437,0.983532,0.967323,0.985679,0.996616,0.784499,0.962944,0.982834,0.990472,100.000000,
2,10.807411,15.104665,44.873548,0.997747,0.986519,0.984098,0.958407,0.985484,0.994508,0.763975,0.958592,0.980966,0.989750,100.000000,
3,9.536326,10.807411,44.844902,0.997777,0.984770,0.982787,0.968030,0.982861,0.991126,0.769507,0.956297,0.978242,0.987679,100.000000,
4,9.536326,9.536326,45.013098,0.997812,0.988339,0.983263,0.961108,0.985897,0.997133,0.773338,0.959813,0.981174,0.989654,100.000000,
5,15.458418,15.731062,45.676814,0.997887,0.989887,0.985484,0.970501,0.987206,0.997276,0.783172,0.963882,0.983152,0.990788,100.000000,
6,5.842316,15.458418,45.131068,0.997850,0.984509,0.983888,0.961064,0.983031,0.991365,0.772752,0.960193,0.980602,0.988943,99.615321,
7,5.842316,5.842316,44.584846,0.997627,0.981514,0.981698,0.962104,0.977746,0.988823,0.760070,0.954233,0.977479,0.987124,98.643972,
8,8.549697,9.998305,44.551797,0.997716,0.983839,0.980183,0.962901,0.982559,0.990867,0.759538,0.956045,0.978541,0.988108,100.000000,
9,7.476825,8.549697,44.477550,0.997494,0.984817,0.982302,0.961976,0.983265,0.992394,0.757315,0.952919,0.977009,0.987064,100.000000,
10,7.451832,7.476825,44.032852,0.997418,0.983355,0.978315,0.958678,0.982837,0.991290,0.745326,0.949161,0.974765,0.985778,100.000000,
11,7.451832,7.451832,43.972226,0.997122,0.983571,0.980227,0.955621,0.982664,0.992487,0.746574,0.944786,0.972224,0.984044,100.000000,
12,8.177838,13.652317,44.358204,0.997693,0.983517,0.979176,0.957545,0.982959,0.991642,0.751189,0.954014,0.977868,0.987565,100.000000,
13,8.177838,8.177838,45.140480,0.997876,0.988343,0.983554,0.962923,0.988046,0.995819,0.771541,0.961555,0.982145,0.990459,100.000000,
14,5.672426,11.187496,44.962665,0.997876,0.983834,0.983747,0.960464,0.981053,0.991520,0.769597,0.960699,0.981343,0.989587,99.343007,
