Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,46.323803,0.000000,0.000000,0.988695,0.986312,0.970366,0.987992,0.994397,0.998280,0.813633,0.967386,0.984356,0.991419,93.419495,
1,45.361105,13.713395,13.713395,0.988437,0.983532,0.967323,0.985679,0.996616,0.997906,0.784499,0.962944,0.982834,0.990472,100.000000,
2,44.873548,10.807411,15.104665,0.986519,0.984098,0.958407,0.985484,0.994508,0.997747,0.763975,0.958592,0.980966,0.989750,100.000000,
3,44.844902,9.536326,10.807411,0.984770,0.982787,0.968030,0.982861,0.991126,0.997777,0.769507,0.956297,0.978242,0.987679,100.000000,
4,45.013098,9.536326,9.536326,0.988339,0.983263,0.961108,0.985897,0.997133,0.997812,0.773338,0.959813,0.981174,0.989654,100.000000,
5,45.676814,15.458418,15.731062,0.989887,0.985484,0.970501,0.987206,0.997276,0.997887,0.783172,0.963882,0.983152,0.990788,100.000000,
6,45.097546,5.842316,15.458418,0.984820,0.985408,0.960456,0.983808,0.991348,0.997800,0.771596,0.959591,0.980295,0.988730,99.649133,
7,44.529966,5.842316,5.842316,0.981861,0.982414,0.961366,0.977712,0.989593,0.997588,0.758639,0.953458,0.977208,0.986976,98.691927,
8,44.575906,8.549697,9.998305,0.983310,0.979735,0.960823,0.982368,0.990531,0.997709,0.760149,0.956087,0.978784,0.988158,100.000000,
9,44.438005,7.476825,8.549697,0.983989,0.982103,0.959133,0.981999,0.992213,0.997420,0.756362,0.951604,0.976193,0.986483,100.000000,
10,44.060601,7.451832,7.476825,0.983946,0.978913,0.959386,0.983855,0.991597,0.997389,0.745646,0.949524,0.975147,0.985917,100.000000,
11,44.006668,7.451832,7.451832,0.983177,0.979595,0.954597,0.983195,0.991780,0.997140,0.747081,0.945512,0.972442,0.984030,100.000000,
12,44.353472,8.177838,13.652317,0.984571,0.978975,0.959669,0.985020,0.992127,0.997651,0.751096,0.954001,0.977822,0.987687,100.000000,
13,45.149447,8.177838,8.177838,0.988295,0.983903,0.962284,0.987134,0.996289,0.997878,0.771899,0.961520,0.981995,0.990004,100.000000,
14,44.946156,5.672426,11.187496,0.983394,0.981962,0.958970,0.980534,0.991714,0.997900,0.769642,0.960698,0.981154,0.989427,99.225749,
15,44.701860,5.672426,5.672426,0.983325,0.980601,0.961715,0.980604,0.991777,0.997866,0.765252,0.959193,0.980623,0.989240,99.162405,
16,44.587711,6.939637,6.939637,0.988133,0.979914,0.962755,0.988347,0.996530,0.997872,0.759150,0.959885,0.981159,0.989574,100.000000,
17,45.018099,10.004850,10.004850,0.988479,0.982643,0.966728,0.986481,0.996612,0.997847,0.772220,0.960449,0.981305,0.989577,100.000000,
18,45.247191,10.555957,12.266700,0.985472,0.982570,0.959574,0.982861,0.993685,0.997858,0.773782,0.960567,0.981134,0.989402,100.000000,
19,44.669654,10.309305,10.555957,0.982228,0.978960,0.958024,0.980597,0.990304,0.997863,0.759301,0.955918,0.977912,0.987506,100.000000,
20,45.636149,10.309305,10.309305,0.987668,0.985063,0.960279,0.985419,0.995817,0.997936,0.779851,0.964942,0.983710,0.991087,100.000000,
21,45.457471,14.313181,14.946738,0.985701,0.980509,0.958433,0.983371,0.994766,0.997953,0.773235,0.963005,0.982196,0.990047,100.000000,
22,45.822099,9.933944,14.313181,0.984480,0.984054,0.959650,0.978825,0.993342,0.997967,0.785293,0.963181,0.982269,0.989979,100.000000,
23,45.335943,8.458784,9.933944,0.983266,0.981783,0.963960,0.980551,0.990228,0.998041,0.774529,0.962068,0.981463,0.989545,100.000000,
24,45.611087,8.458784,8.458784,0.986067,0.983333,0.968082,0.983774,0.992635,0.998074,0.783996,0.963446,0.982254,0.990153,100.000000,
25,45.510631,8.227978,9.402710,0.988697,0.983360,0.964564,0.989823,0.995295,0.997991,0.781531,0.963851,0.982782,0.990352,100.000000,
26,45.159869,4.295971,8.227978,0.983645,0.979767,0.963244,0.979430,0.992384,0.997985,0.771085,0.964129,0.983156,0.990617,97.770009,
27,45.181409,4.295971,4.295971,0.984649,0.975390,0.968456,0.981734,0.992686,0.998202,0.773772,0.965974,0.984144,0.991375,98.102335,
28,45.540528,7.025203,7.819634,0.986839,0.981263,0.969252,0.985407,0.993494,0.998123,0.782921,0.965228,0.983569,0.990976,100.000000,
29,45.159061,2.654978,7.025203,0.985446,0.979643,0.962867,0.982744,0.994472,0.997935,0.772821,0.961479,0.981744,0.989989,95.954701,
30,44.972482,1.883448,2.654978,0.983858,0.976998,0.961921,0.981416,0.992989,0.998010,0.768646,0.960687,0.981218,0.989761,94.569292,
31,44.865191,1.883448,1.883448,0.982169,0.977564,0.958878,0.979673,0.991377,0.997774,0.769447,0.956148,0.978765,0.988301,93.960189,
