Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,46.422713,0.000000,0.000000,0.991867,0.991903,0.976692,0.991972,0.995719,0.997297,0.813538,0.961689,0.980696,0.988849,93.718129,
1,45.132965,13.713395,13.713395,0.989404,0.987808,0.963309,0.988747,0.996911,0.996649,0.776331,0.955591,0.977801,0.986728,100.000000,
2,43.834325,10.807411,15.104665,0.986054,0.984876,0.958700,0.983015,0.994613,0.995549,0.738961,0.932172,0.964105,0.978501,100.000000,
3,43.050042,9.536326,10.807411,0.977134,0.981487,0.957626,0.974028,0.983506,0.994878,0.722579,0.915661,0.951813,0.970489,99.429141,
4,44.439127,9.536326,9.536326,0.986137,0.982425,0.961992,0.983439,0.994027,0.996249,0.752181,0.947059,0.973050,0.984095,100.000000,
5,43.226763,15.458418,15.731062,0.984031,0.986030,0.961900,0.978407,0.991987,0.994640,0.722784,0.916616,0.954059,0.972333,100.000000,
6,44.298735,5.842316,15.458418,0.986769,0.986838,0.960002,0.985389,0.994234,0.996052,0.760186,0.937657,0.965847,0.979564,98.621157,
7,44.113414,5.842316,5.842316,0.986120,0.985443,0.969961,0.984394,0.991575,0.995795,0.754574,0.934496,0.962834,0.977003,98.130634,
8,45.003174,8.549697,9.998305,0.988758,0.985242,0.968904,0.987347,0.995547,0.996821,0.768477,0.956248,0.978460,0.987894,100.000000,
9,44.187405,7.476825,8.549697,0.987044,0.986560,0.966670,0.985168,0.993681,0.995875,0.755311,0.937109,0.965136,0.979022,100.000000,
10,44.782385,7.451832,7.476825,0.989477,0.985042,0.968346,0.989047,0.996292,0.996591,0.763249,0.953459,0.976731,0.986656,100.000000,
11,44.088762,7.451832,7.451832,0.984195,0.984750,0.959500,0.981781,0.992190,0.995845,0.753438,0.936452,0.964883,0.978481,99.857147,
12,44.855202,8.177838,13.652317,0.988321,0.984804,0.968521,0.986761,0.995213,0.996755,0.762431,0.953041,0.976507,0.986393,100.000000,
13,43.519665,8.177838,8.177838,0.984975,0.983882,0.954523,0.982279,0.994125,0.995501,0.737337,0.925780,0.958396,0.974671,100.000000,
14,44.561553,5.672426,11.187496,0.986785,0.987154,0.962981,0.984804,0.994012,0.996209,0.762222,0.940426,0.967147,0.979971,98.516668,
15,43.652892,5.672426,5.672426,0.977580,0.980323,0.951499,0.972824,0.987250,0.995833,0.744801,0.929159,0.960358,0.975994,95.853912,
16,45.152091,6.939637,6.939637,0.990176,0.986288,0.968084,0.989756,0.997066,0.996983,0.772419,0.959028,0.980477,0.988879,100.000000,
17,44.637316,10.004850,10.004850,0.989076,0.987210,0.964665,0.986646,0.997175,0.996145,0.766517,0.945346,0.971377,0.983075,100.000000,
18,44.310424,10.555957,12.266700,0.988337,0.987940,0.965287,0.985553,0.995364,0.995957,0.757164,0.937456,0.966537,0.980124,100.000000,
19,45.396074,10.309305,10.555957,0.989536,0.985433,0.969271,0.988618,0.996367,0.997174,0.779721,0.959007,0.979824,0.988475,100.000000,
20,45.025092,10.309305,10.309305,0.987165,0.989206,0.962783,0.983736,0.994058,0.996293,0.771486,0.946309,0.971488,0.983094,100.000000,
21,45.938122,14.313181,14.946738,0.990879,0.988373,0.966080,0.990501,0.997678,0.997253,0.786738,0.965117,0.983180,0.990400,100.000000,
22,45.793571,9.933944,14.313181,0.987786,0.987121,0.966208,0.986002,0.993981,0.996909,0.794040,0.953694,0.974650,0.984374,100.000000,
23,45.929439,8.458784,9.933944,0.989754,0.983492,0.972812,0.990114,0.995440,0.997599,0.789442,0.967485,0.984303,0.991000,100.000000,
24,45.221210,8.458784,8.458784,0.987909,0.986065,0.971888,0.985809,0.993660,0.996693,0.779298,0.948474,0.971453,0.982544,100.000000,
25,45.465925,8.227978,9.402710,0.989048,0.986644,0.966602,0.987637,0.995967,0.996966,0.787138,0.954690,0.976083,0.985770,100.000000,
26,45.564635,4.295971,8.227978,0.989016,0.984587,0.973220,0.987057,0.995342,0.997146,0.786918,0.957804,0.977879,0.986937,98.398119,
