Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.202034,0.000000,0.000000,0.996533,0.991959,0.986359,0.987436,0.992534,0.995485,0.778208,0.963360,0.983274,0.989828,93.957491,
1,42.171884,0.028625,6.567707,0.995609,0.990224,0.982289,0.984433,0.991078,0.994752,0.728972,0.953908,0.979126,0.987763,93.276786,
2,42.186701,0.028625,0.028625,0.995617,0.990221,0.982256,0.984462,0.991088,0.994731,0.729288,0.953898,0.979210,0.987842,93.285718,
3,41.133850,4.294326,5.599428,0.994154,0.986754,0.976785,0.978595,0.988155,0.992694,0.690336,0.941383,0.971950,0.983047,97.243792,
4,40.896795,4.294326,4.294326,0.994278,0.985903,0.976361,0.977748,0.986475,0.992436,0.697077,0.936977,0.968909,0.980998,96.749075,
5,41.399609,0.007757,7.221392,0.994547,0.986903,0.974394,0.980576,0.987765,0.993269,0.687997,0.944803,0.974378,0.984483,92.076849,
6,41.424419,0.007757,0.007757,0.994595,0.986964,0.974514,0.980688,0.987907,0.993223,0.688853,0.945002,0.974476,0.984536,92.098053,
7,40.697412,4.043325,7.399476,0.993707,0.986350,0.973521,0.979337,0.987459,0.993054,0.670699,0.936878,0.969428,0.981217,96.578167,
8,40.753278,4.043325,4.043325,0.993632,0.985157,0.971312,0.976908,0.985558,0.993242,0.669337,0.935345,0.968331,0.980292,96.193064,
9,41.310931,0.055902,6.275300,0.994049,0.986363,0.974752,0.979121,0.987306,0.993016,0.676134,0.943998,0.973702,0.983669,91.941127,
10,41.250306,0.055902,0.055902,0.994046,0.986211,0.974550,0.979349,0.987222,0.992629,0.673902,0.943421,0.973374,0.983421,91.875460,
11,41.114446,5.302132,7.772584,0.993525,0.986227,0.973042,0.978695,0.987771,0.993108,0.670418,0.936327,0.968563,0.979984,97.946293,
12,41.275023,5.302132,5.302132,0.993654,0.986650,0.974994,0.979914,0.987212,0.993458,0.675149,0.938743,0.970529,0.981668,98.266913,
13,42.734769,0.074315,9.661745,0.995140,0.990278,0.979531,0.984563,0.991585,0.995631,0.709585,0.959578,0.982228,0.989252,93.644390,
14,43.207354,0.074315,0.074315,0.995779,0.991454,0.981346,0.986825,0.992605,0.996164,0.728687,0.963399,0.983568,0.990130,94.023939,
15,43.448918,4.309330,8.714405,0.996020,0.992267,0.982802,0.987372,0.994162,0.996326,0.735159,0.966708,0.985196,0.991003,99.787085,
16,43.676503,4.309330,4.309330,0.996416,0.991334,0.981410,0.987242,0.992914,0.995292,0.742284,0.969247,0.986392,0.991687,99.704588,
17,44.214093,0.044404,5.369177,0.996731,0.993203,0.983930,0.988636,0.994994,0.997000,0.756333,0.975233,0.989876,0.994163,94.991275,
18,44.214155,0.044404,0.044404,0.996746,0.993188,0.983871,0.988696,0.994951,0.996982,0.755488,0.975201,0.989891,0.994185,94.991005,
19,43.522061,3.335222,4.978014,0.996175,0.991796,0.982680,0.986889,0.992969,0.996235,0.737810,0.968680,0.986458,0.991869,98.594812,
20,43.290622,3.335222,3.335222,0.995959,0.992100,0.982497,0.987158,0.993977,0.996114,0.730668,0.967330,0.985592,0.991126,98.557188,
21,43.414784,0.038753,6.528298,0.996073,0.991442,0.982434,0.986864,0.993120,0.995420,0.730839,0.967256,0.985908,0.991263,94.181906,
22,43.538097,0.038753,0.038753,0.996183,0.991825,0.982845,0.987504,0.993375,0.995760,0.735439,0.968191,0.986318,0.991624,94.311551,
23,43.093755,5.080063,6.550555,0.995590,0.992022,0.983144,0.987729,0.993169,0.996164,0.723207,0.964241,0.984236,0.990312,100.000000,
24,42.601757,5.080063,5.080063,0.994792,0.990661,0.982426,0.986231,0.992709,0.993939,0.706980,0.962499,0.982096,0.988975,100.000000,
