Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.202034,0.000000,0.000000,0.996533,0.991959,0.986359,0.987436,0.992534,0.995485,0.778208,0.963360,0.983274,0.989828,93.957491,
1,42.171884,0.028625,6.567707,0.995609,0.990224,0.982289,0.984433,0.991078,0.994752,0.728972,0.953908,0.979126,0.987763,93.276786,
2,42.186303,0.028625,0.028625,0.995617,0.990213,0.982255,0.984466,0.991093,0.994703,0.729278,0.953901,0.979207,0.987839,93.283525,
3,40.501950,4.294326,5.599428,0.993671,0.985715,0.972327,0.977410,0.986909,0.992905,0.668466,0.936355,0.969584,0.981598,96.783948,
4,39.999132,4.294326,4.294326,0.993358,0.983052,0.968589,0.972803,0.986077,0.990153,0.649837,0.930992,0.967488,0.980195,95.989752,
5,40.678809,0.007757,7.221392,0.993949,0.985046,0.968517,0.977215,0.986606,0.992861,0.655745,0.941060,0.973084,0.983665,91.586776,
6,40.709714,0.007757,0.007757,0.994002,0.985133,0.968685,0.977531,0.986624,0.992862,0.656868,0.941394,0.973286,0.983820,91.626178,
7,40.275889,4.043325,7.399476,0.993190,0.984941,0.969156,0.977217,0.986013,0.992958,0.646939,0.934131,0.968456,0.980298,96.153739,
8,40.054825,4.043325,4.043325,0.992976,0.984204,0.965481,0.975160,0.986506,0.992740,0.637775,0.929753,0.965754,0.978265,95.705128,
9,40.826841,0.055902,6.275300,0.993706,0.985155,0.969876,0.978174,0.986028,0.992883,0.653329,0.941287,0.972519,0.983069,91.604566,
10,40.772573,0.055902,0.055902,0.993717,0.985139,0.969812,0.978480,0.985847,0.992843,0.651641,0.940734,0.972207,0.982899,91.574725,
11,40.738669,5.302132,7.772584,0.993236,0.984991,0.969004,0.977934,0.986730,0.992358,0.650626,0.935142,0.968045,0.979423,97.603166,
12,40.911257,5.302132,5.302132,0.993346,0.986278,0.971434,0.979375,0.987280,0.993832,0.655780,0.936567,0.969174,0.980655,98.035202,
13,41.483587,0.074315,9.661745,0.993784,0.986568,0.973061,0.979823,0.988256,0.993031,0.664943,0.945792,0.975138,0.984301,92.142792,
14,41.894405,0.074315,0.074315,0.994481,0.988057,0.975164,0.982552,0.989600,0.993796,0.681929,0.949994,0.976689,0.985196,92.594967,
15,42.443351,4.309330,8.714405,0.995125,0.990076,0.977068,0.984401,0.991578,0.996003,0.698437,0.957774,0.980654,0.988112,98.831975,
16,42.644988,4.309330,4.309330,0.995574,0.989673,0.976184,0.984527,0.990430,0.995938,0.706011,0.960256,0.981415,0.988280,98.801743,
17,43.394531,0.044404,5.369177,0.996175,0.992013,0.979721,0.986552,0.993860,0.997171,0.726735,0.970483,0.987564,0.992490,94.501988,
18,43.362470,0.044404,0.044404,0.996174,0.991959,0.979634,0.986552,0.993786,0.997115,0.724867,0.970230,0.987478,0.992450,94.483912,
19,42.404328,3.335222,4.978014,0.995222,0.989512,0.977647,0.983818,0.990427,0.995418,0.699866,0.958446,0.981279,0.988461,97.555214,
20,42.204450,3.335222,3.335222,0.994966,0.989496,0.977137,0.983434,0.991538,0.994804,0.692447,0.957277,0.980696,0.988021,97.487634,
21,42.406944,0.038753,6.528298,0.995252,0.989415,0.976632,0.983085,0.991064,0.995561,0.694734,0.960109,0.982639,0.989174,93.441716,
22,42.602293,0.038753,0.038753,0.995447,0.990264,0.977714,0.984249,0.992144,0.995981,0.701888,0.961556,0.983336,0.989610,93.688406,
23,42.279625,5.080063,6.550555,0.994924,0.989952,0.978429,0.984698,0.991970,0.994739,0.692117,0.958464,0.981637,0.988771,99.847565,
24,42.052508,5.080063,5.080063,0.994180,0.990007,0.980241,0.984628,0.991259,0.994904,0.684417,0.957808,0.979870,0.987802,99.698792,
