Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,43.857023,0.000000,0.000000,0.997343,0.992286,0.983609,0.987350,0.993534,0.996411,0.774746,0.969986,0.986876,0.992232,94.409609,
1,42.485634,0.028625,6.567707,0.996581,0.990188,0.980826,0.984793,0.991430,0.994636,0.736523,0.962300,0.983313,0.990398,93.687999,
2,42.503504,0.028625,0.028625,0.996597,0.990144,0.980771,0.984728,0.991446,0.994557,0.737125,0.962292,0.983420,0.990495,93.690343,
3,40.775218,4.294326,5.599428,0.994945,0.985392,0.970459,0.976521,0.986694,0.993238,0.678371,0.945624,0.974957,0.985314,97.274229,
4,40.177633,4.294326,4.294326,0.994477,0.982951,0.966079,0.970844,0.985495,0.992103,0.654844,0.938148,0.971757,0.983166,96.410642,
5,40.902828,0.007757,7.221392,0.995065,0.984823,0.967348,0.975719,0.986368,0.993585,0.663927,0.948536,0.977106,0.986377,91.942094,
6,40.943160,0.007757,0.007757,0.995102,0.984943,0.967605,0.976197,0.986454,0.993506,0.665213,0.948888,0.977288,0.986510,91.985797,
7,40.372848,4.043325,7.399476,0.994123,0.984595,0.968047,0.975452,0.986265,0.993106,0.649468,0.938914,0.971351,0.982766,96.415061,
8,40.084286,4.043325,4.043325,0.993845,0.983209,0.964189,0.972327,0.985006,0.993137,0.638476,0.933301,0.968101,0.980202,95.755166,
9,40.864519,0.055902,6.275300,0.994593,0.984473,0.968333,0.975465,0.985517,0.993382,0.655810,0.945648,0.975324,0.984986,91.742184,
10,40.835405,0.055902,0.055902,0.994656,0.984549,0.968209,0.975720,0.985740,0.993314,0.654467,0.945576,0.975260,0.985037,91.761650,
11,40.740147,5.302132,7.772584,0.994266,0.983764,0.967044,0.975690,0.985969,0.991514,0.653416,0.939980,0.971827,0.982722,97.779505,
12,41.431293,5.302132,5.302132,0.994993,0.986818,0.971016,0.980467,0.988152,0.994115,0.673049,0.948659,0.976600,0.985869,98.937318,
13,42.033976,0.074315,9.661745,0.995332,0.987109,0.973365,0.979871,0.988709,0.993977,0.684295,0.956223,0.980630,0.988394,92.836827,
14,42.337356,0.074315,0.074315,0.995679,0.988315,0.975024,0.981567,0.989987,0.994724,0.696410,0.958998,0.981690,0.989020,93.189955,
15,42.485186,4.309330,8.714405,0.995816,0.988741,0.976074,0.982573,0.990878,0.994298,0.701632,0.960717,0.982342,0.989322,98.724095,
16,42.563662,4.309330,4.309330,0.996069,0.988304,0.974982,0.983052,0.990235,0.993644,0.704928,0.962817,0.983306,0.989882,98.725193,
17,43.206305,0.044404,5.369177,0.996521,0.990452,0.978450,0.984691,0.992299,0.995671,0.722414,0.970506,0.987847,0.992972,94.218846,
18,43.180878,0.044404,0.044404,0.996520,0.990368,0.978315,0.984628,0.992261,0.995558,0.720688,0.970389,0.987848,0.993002,94.204422,
19,42.488546,3.335222,4.978014,0.995886,0.988856,0.976276,0.982777,0.990207,0.994836,0.702904,0.962223,0.983546,0.990413,97.682927,
20,42.281667,3.335222,3.335222,0.995662,0.988594,0.975849,0.981693,0.990290,0.994720,0.695285,0.960683,0.982682,0.989826,97.535834,
21,42.343594,0.038753,6.528298,0.995958,0.989001,0.974588,0.982175,0.990902,0.995732,0.694403,0.963072,0.984470,0.990633,93.561088,
22,42.541487,0.038753,0.038753,0.996113,0.989411,0.975608,0.983167,0.991218,0.995712,0.701112,0.964679,0.985180,0.991103,93.717471,
23,42.195631,5.080063,6.550555,0.995550,0.988704,0.976213,0.982762,0.990412,0.994406,0.690195,0.960301,0.982837,0.989804,99.717599,
24,41.160924,5.080063,5.080063,0.993640,0.986601,0.974842,0.978146,0.988455,0.993262,0.654133,0.947541,0.975085,0.985177,98.493146,
25,41.815493,0.015668,6.982175,0.994435,0.988607,0.977481,0.981346,0.989682,0.995009,0.658366,0.959757,0.982079,0.989717,93.300811,
26,41.824114,0.015668,0.015668,0.994437,0.988614,0.977505,0.981405,0.989557,0.995087,0.658789,0.959706,0.982067,0.989708,93.300271,
27,40.752514,2.750608,6.630220,0.992694,0.986978,0.972475,0.981154,0.987992,0.993712,0.620976,0.947091,0.975371,0.984877,95.726650,
28,41.020010,2.750608,2.750608,0.992861,0.987058,0.973643,0.980993,0.988195,0.993372,0.630685,0.948742,0.975884,0.985320,95.799895,
29,41.810147,0.019774,5.141876,0.994231,0.989653,0.976829,0.984405,0.990351,0.995488,0.653846,0.960573,0.982591,0.989924,93.580576,
30,42.066085,0.019774,0.019774,0.994525,0.990444,0.977813,0.985711,0.991071,0.996021,0.663360,0.963224,0.983810,0.990657,93.860839,
31,42.412043,3.173858,4.182041,0.994774,0.991753,0.979960,0.987752,0.992890,0.996444,0.677097,0.967404,0.985916,0.991643,98.342017,
32,41.861659,3.173858,3.173858,0.994734,0.988633,0.973625,0.982743,0.989977,0.995066,0.662809,0.959476,0.981249,0.988537,97.181218,
33,42.694162,0.040208,4.821353,0.995560,0.990509,0.977910,0.984233,0.991486,0.996774,0.691018,0.965158,0.984221,0.990523,93.881703,
34,42.723163,0.040208,0.040208,0.995609,0.990671,0.978177,0.984529,0.991484,0.996963,0.691100,0.965526,0.984397,0.990595,93.931611,
35,42.467110,4.876423,6.666135,0.995559,0.990300,0.977543,0.984143,0.991379,0.996545,0.686484,0.960459,0.981482,0.988692,99.668026,
