Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,43.373156,0.000000,0.000000,0.997893,0.989828,0.978414,0.982026,0.991188,0.996143,0.772971,0.969556,0.986853,0.992604,93.904353,
1,41.922984,0.028625,6.567707,0.997096,0.987131,0.975243,0.978890,0.987648,0.994293,0.729951,0.959647,0.982052,0.989974,92.932641,
2,41.950957,0.028625,0.028625,0.997113,0.987097,0.975308,0.978977,0.987552,0.994218,0.731070,0.959590,0.982084,0.990025,92.929323,
3,40.545679,4.294326,5.599428,0.995876,0.983051,0.965988,0.971661,0.983922,0.993121,0.679067,0.945239,0.974817,0.985511,96.773324,
4,39.884925,4.294326,4.294326,0.995351,0.979036,0.961380,0.965929,0.980740,0.989604,0.652862,0.937062,0.971465,0.983656,95.584402,
5,40.392783,0.007757,7.221392,0.995675,0.980569,0.961813,0.968218,0.981590,0.991773,0.657423,0.945710,0.976216,0.986659,91.008657,
6,40.441758,0.007757,0.007757,0.995716,0.980772,0.962121,0.968432,0.981847,0.991895,0.658776,0.946004,0.976377,0.986744,91.065102,
7,39.909536,4.043325,7.399476,0.994900,0.980225,0.961848,0.967978,0.981489,0.991199,0.641933,0.935812,0.970546,0.983069,95.449004,
8,39.684846,4.043325,4.043325,0.994686,0.978119,0.957930,0.963241,0.980425,0.990003,0.630553,0.931859,0.968605,0.981712,94.793436,
9,40.325906,0.055902,6.275300,0.995277,0.979523,0.961682,0.966795,0.980761,0.990737,0.647345,0.942131,0.974040,0.985002,90.622729,
10,40.296823,0.055902,0.055902,0.995300,0.979517,0.961529,0.967114,0.980924,0.990474,0.645695,0.941883,0.973870,0.984906,90.608049,
11,40.213889,5.302132,7.772584,0.995001,0.979854,0.960576,0.966322,0.982364,0.991022,0.644644,0.936972,0.970877,0.982963,96.897414,
12,40.860212,5.302132,5.302132,0.995591,0.982961,0.964388,0.970139,0.986422,0.992804,0.662353,0.946408,0.976304,0.986256,98.105467,
13,41.830232,0.074315,9.661745,0.996253,0.985407,0.969228,0.974976,0.987541,0.994284,0.686538,0.959411,0.983269,0.990657,92.774680,
14,42.012063,0.074315,0.074315,0.996450,0.986005,0.969810,0.975737,0.988079,0.994847,0.693708,0.961158,0.983986,0.991006,92.961338,
15,41.889320,4.309330,8.714405,0.996451,0.985491,0.968720,0.975990,0.988372,0.993509,0.691620,0.958213,0.981770,0.989717,98.011359,
16,42.030413,4.309330,4.309330,0.996752,0.985019,0.967711,0.976214,0.986085,0.994111,0.697647,0.960627,0.982768,0.990021,97.986711,
17,42.507839,0.044404,5.369177,0.997013,0.987491,0.971400,0.978643,0.989226,0.995664,0.711357,0.967044,0.986275,0.992389,93.458302,
