Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,43.377398,0.997893,0.989870,0.978381,0.982075,0.991134,0.996280,0.772970,0.969580,0.986857,0.992701,93.921498,
1,0.028625,6.567707,41.925267,0.997102,0.987170,0.975264,0.978856,0.988109,0.994045,0.730142,0.959797,0.982247,0.990187,92.967048,
2,0.028625,0.028625,41.952452,0.997121,0.987129,0.975310,0.978906,0.988092,0.993912,0.731269,0.959836,0.982362,0.990242,92.966531,
3,4.294326,5.599428,40.542552,0.995898,0.982596,0.966216,0.971710,0.984272,0.991585,0.678744,0.945695,0.975348,0.986142,96.749670,
4,4.294326,4.294326,39.898423,0.995374,0.979826,0.961165,0.965047,0.982478,0.990778,0.653317,0.937758,0.971915,0.983912,95.797725,
5,0.007757,7.221392,40.359943,0.995695,0.980790,0.961398,0.967739,0.982708,0.991843,0.656634,0.945459,0.975935,0.986395,91.023396,
6,0.007757,0.007757,40.403187,0.995736,0.980922,0.961576,0.967672,0.982804,0.992089,0.657887,0.945902,0.976218,0.986565,91.077342,
7,4.043325,7.399476,39.905923,0.994859,0.980068,0.961490,0.966821,0.983136,0.990216,0.641741,0.935881,0.970614,0.983141,95.423915,
8,4.043325,4.043325,39.691537,0.994663,0.978221,0.958013,0.962469,0.980316,0.990706,0.630190,0.931653,0.968593,0.981603,94.805774,
9,0.055902,6.275300,40.351710,0.995309,0.979424,0.961860,0.967341,0.979888,0.990828,0.648062,0.942905,0.974656,0.985567,90.674307,
10,0.055902,0.055902,40.311540,0.995339,0.979373,0.961578,0.967587,0.979991,0.990573,0.645981,0.942671,0.974475,0.985473,90.650438,
11,5.302132,7.772584,40.213832,0.995037,0.978938,0.960213,0.965392,0.981272,0.990082,0.644797,0.937411,0.971624,0.983386,96.766351,
12,5.302132,5.302132,40.770556,0.995541,0.981199,0.963113,0.970264,0.982789,0.991429,0.659568,0.945167,0.975780,0.986213,97.691139,
13,0.074315,9.661745,41.778725,0.996356,0.984846,0.967503,0.974235,0.987400,0.993848,0.686547,0.958264,0.982403,0.990056,92.562914,
14,0.074315,0.074315,41.971644,0.996555,0.985324,0.968242,0.974942,0.987924,0.994085,0.694625,0.959684,0.982723,0.990275,92.693283,
15,4.309330,8.714405,42.089135,0.996629,0.985357,0.969323,0.976536,0.988776,0.992341,0.697453,0.960369,0.982807,0.990029,98.061701,
16,4.309330,4.309330,42.075948,0.996806,0.985072,0.967505,0.976100,0.987878,0.992954,0.699537,0.960683,0.982585,0.989804,97.973196,
17,0.044404,5.369177,42.542706,0.996978,0.987138,0.971462,0.978360,0.989668,0.994503,0.711497,0.967133,0.986543,0.992308,93.387620,
18,0.044404,0.044404,42.519151,0.996971,0.987062,0.971463,0.978273,0.989650,0.994361,0.709829,0.966839,0.986461,0.992270,93.365026,
19,3.335222,4.978014,41.935511,0.996442,0.985246,0.969797,0.976234,0.987570,0.992858,0.693270,0.958891,0.982185,0.989756,96.772980,
20,3.335222,3.335222,41.704735,0.996217,0.984804,0.968803,0.974694,0.986688,0.993428,0.684775,0.956862,0.981175,0.989059,96.571217,
21,0.038753,6.528298,41.570063,0.996326,0.983699,0.967394,0.973045,0.984998,0.993555,0.680121,0.957446,0.982025,0.989691,92.228501,
