Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,43.377398,0.000000,0.000000,0.997893,0.989870,0.978381,0.982075,0.991134,0.996280,0.772970,0.969580,0.986857,0.992701,93.921498,
1,41.925267,0.028625,6.567707,0.997102,0.987170,0.975264,0.978856,0.988109,0.994045,0.730142,0.959797,0.982247,0.990187,92.967048,
2,41.952452,0.028625,0.028625,0.997121,0.987129,0.975310,0.978906,0.988092,0.993912,0.731269,0.959836,0.982362,0.990242,92.966531,
3,40.542552,4.294326,5.599428,0.995898,0.982596,0.966216,0.971710,0.984272,0.991585,0.678744,0.945695,0.975348,0.986142,96.749670,
4,39.898423,4.294326,4.294326,0.995374,0.979826,0.961165,0.965047,0.982478,0.990778,0.653317,0.937758,0.971915,0.983912,95.797725,
5,40.359943,0.007757,7.221392,0.995695,0.980790,0.961398,0.967739,0.982708,0.991843,0.656634,0.945459,0.975935,0.986395,91.023396,
6,40.403187,0.007757,0.007757,0.995736,0.980922,0.961576,0.967672,0.982804,0.992089,0.657887,0.945902,0.976218,0.986565,91.077342,
7,39.871571,4.043325,7.399476,0.994798,0.980390,0.961360,0.966826,0.983432,0.990861,0.640694,0.935544,0.970598,0.983168,95.494630,
8,39.670691,4.043325,4.043325,0.994635,0.978002,0.957966,0.962290,0.981308,0.989485,0.629839,0.931521,0.968276,0.981483,94.734893,
9,40.341729,0.055902,6.275300,0.995308,0.978977,0.961868,0.966827,0.978404,0.991089,0.647817,0.942282,0.974551,0.985625,90.576627,
10,40.299347,0.055902,0.055902,0.995334,0.978979,0.961646,0.966946,0.979092,0.990561,0.645711,0.941848,0.974266,0.985362,90.545683,
11,40.198957,5.302132,7.772584,0.995026,0.978582,0.959801,0.965534,0.981769,0.988782,0.644456,0.937141,0.971253,0.982997,96.640997,
12,40.727339,5.302132,5.302132,0.995495,0.981196,0.962841,0.968678,0.983542,0.991724,0.658078,0.944257,0.975312,0.985601,97.617865,
13,41.759663,0.074315,9.661745,0.996289,0.984620,0.967364,0.974171,0.986796,0.993814,0.685464,0.957797,0.982101,0.989805,92.480432,
14,42.064231,0.074315,0.074315,0.996569,0.985793,0.969323,0.976620,0.988101,0.993967,0.696492,0.960541,0.983044,0.990294,92.811469,
15,42.290713,4.309330,8.714405,0.996792,0.986717,0.970807,0.977955,0.989831,0.993881,0.703292,0.963258,0.984417,0.991005,98.519850,
16,42.340592,4.309330,4.309330,0.996975,0.985466,0.969627,0.977780,0.987691,0.992609,0.706880,0.963655,0.984180,0.990887,98.229160,
