Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,45.677822,0.000000,0.000000,0.997775,0.993718,0.989308,0.989846,0.993845,0.996911,0.835659,0.972971,0.987180,0.992274,94.718389,
1,43.015562,0.028625,6.567707,0.996569,0.990642,0.985129,0.985894,0.990329,0.994852,0.782130,0.957403,0.978532,0.986884,93.240382,
2,43.057560,0.028625,0.028625,0.996587,0.990691,0.985281,0.985934,0.990403,0.994855,0.784625,0.957577,0.978718,0.987040,93.270607,
3,40.909874,4.294326,5.599428,0.994683,0.984439,0.977087,0.975834,0.984973,0.990501,0.720161,0.934063,0.964337,0.977382,95.938111,
4,41.013973,4.294326,4.294326,0.994810,0.984867,0.978501,0.977374,0.984203,0.991102,0.736129,0.933937,0.964350,0.977162,96.017519,
5,43.869225,0.007757,7.221392,0.996625,0.991972,0.985306,0.987148,0.992539,0.996014,0.782091,0.963532,0.982329,0.988991,93.860274,
6,43.853939,0.007757,0.007757,0.996630,0.991934,0.985190,0.987083,0.992668,0.995882,0.779263,0.963214,0.982194,0.988908,93.839897,
7,41.036709,4.043325,7.399476,0.994255,0.985339,0.975444,0.979911,0.986560,0.990235,0.715616,0.933067,0.963061,0.975881,95.644269,
8,40.747758,4.043325,4.043325,0.993781,0.983768,0.972524,0.978429,0.982752,0.990691,0.703101,0.927366,0.959616,0.973453,94.944963,
9,41.541440,0.055902,6.275300,0.994533,0.987922,0.978006,0.982265,0.989027,0.993095,0.720999,0.940528,0.968400,0.979793,91.675292,
10,41.626654,0.055902,0.055902,0.994593,0.987924,0.978513,0.982663,0.988904,0.992831,0.727109,0.941509,0.968935,0.980168,91.725516,
11,41.796720,5.302132,7.772584,0.994448,0.988587,0.979801,0.983723,0.989774,0.992961,0.721628,0.939858,0.968235,0.979452,98.434006,
12,42.058679,5.302132,5.302132,0.994540,0.989060,0.981237,0.985022,0.989476,0.993343,0.727256,0.939583,0.967000,0.978152,98.381893,
13,42.884252,0.074315,9.661745,0.995290,0.990236,0.982643,0.986204,0.991339,0.993870,0.735809,0.955641,0.978320,0.986500,93.203051,
14,42.991680,0.074315,0.074315,0.995467,0.990377,0.982698,0.986369,0.991238,0.994221,0.739159,0.955904,0.978461,0.986583,93.244401,
15,42.937463,4.309330,8.714405,0.995284,0.990218,0.983177,0.985809,0.991788,0.993512,0.742112,0.953072,0.975791,0.984342,98.339881,
16,43.409527,4.309330,4.309330,0.995856,0.990931,0.983865,0.987172,0.991169,0.994882,0.750118,0.961085,0.981212,0.988125,99.070676,
17,43.104429,0.044404,5.369177,0.995563,0.990168,0.983189,0.985818,0.992349,0.992820,0.738958,0.957990,0.979540,0.987098,93.256156,
18,43.116503,0.044404,0.044404,0.995589,0.990295,0.983149,0.986048,0.992382,0.993023,0.738518,0.958365,0.979849,0.987314,93.316339,
19,42.312314,3.335222,4.978014,0.994589,0.988274,0.981250,0.983615,0.989139,0.992177,0.722932,0.946712,0.972502,0.982426,96.372481,
20,41.330438,3.335222,3.335222,0.994121,0.986491,0.980010,0.980860,0.986883,0.991059,0.701932,0.936871,0.966583,0.978680,95.399049,
21,43.695930,0.038753,6.528298,0.995882,0.992201,0.985011,0.988320,0.993389,0.995620,0.751366,0.964902,0.983900,0.990179,94.143583,
22,43.729382,0.038753,0.038753,0.995887,0.992207,0.985002,0.988317,0.993435,0.995601,0.751915,0.964618,0.983757,0.990121,94.132210,
23,41.872322,5.080063,6.550555,0.994377,0.988204,0.981057,0.983767,0.988727,0.992375,0.712460,0.943777,0.970358,0.980635,98.274949,
24,41.167680,5.080063,5.080063,0.992276,0.986862,0.979250,0.982318,0.987222,0.991361,0.674350,0.935147,0.965306,0.977883,97.504473,
25,42.073554,0.015668,6.982175,0.993674,0.991160,0.983554,0.987395,0.992042,0.994799,0.693099,0.955788,0.977632,0.986004,93.301939,
26,42.004646,0.015668,0.015668,0.993586,0.991197,0.983586,0.987482,0.992026,0.994851,0.693451,0.955837,0.977636,0.986030,93.311778,
27,41.313577,2.750608,6.630220,0.993337,0.986235,0.975629,0.979837,0.987330,0.991997,0.670901,0.943240,0.970316,0.980950,94.985752,
28,41.729442,2.750608,2.750608,0.993604,0.986938,0.977285,0.980210,0.987783,0.992676,0.683375,0.946141,0.971539,0.981862,95.267737,
29,42.899261,0.019774,5.141876,0.995259,0.991753,0.982167,0.986932,0.992274,0.996558,0.714794,0.969063,0.985504,0.991381,94.239095,
30,42.924325,0.019774,0.019774,0.995314,0.991699,0.982093,0.986812,0.992287,0.996491,0.713876,0.968769,0.985382,0.991349,94.219118,
31,41.619722,3.173858,4.182041,0.993634,0.987580,0.976908,0.981210,0.987914,0.993761,0.680443,0.948250,0.973567,0.983109,96.133850,
32,40.402659,3.173858,3.173858,0.992266,0.982781,0.968635,0.974695,0.983476,0.990552,0.633993,0.932530,0.964616,0.976940,94.186186,
33,42.231780,0.040208,4.821353,0.994806,0.990001,0.980444,0.985443,0.990875,0.994547,0.698331,0.954791,0.977054,0.985830,93.034415,
34,42.231828,0.040208,0.040208,0.994768,0.990176,0.980641,0.985830,0.991061,0.994600,0.698304,0.955184,0.977198,0.985896,93.085261,
35,43.168488,4.876423,6.666135,0.995511,0.991839,0.983850,0.988066,0.992857,0.995439,0.726369,0.959068,0.978418,0.986419,99.695080,
36,43.284080,4.876423,4.876423,0.995955,0.992299,0.982816,0.988502,0.993524,0.996209,0.729384,0.964409,0.982093,0.988932,100.000000,
37,44.059415,0.044811,8.160414,0.996514,0.992941,0.985468,0.989322,0.993230,0.996855,0.752836,0.967730,0.983618,0.989987,94.294549,
38,44.130981,0.044811,0.044811,0.996576,0.993075,0.985721,0.989410,0.993359,0.996981,0.755269,0.968218,0.983884,0.990023,94.338340,
39,44.475389,3.466216,6.766774,0.997000,0.993586,0.985232,0.989838,0.994137,0.997609,0.762991,0.974055,0.987550,0.992292,99.261343,
40,44.605083,3.376240,3.466216,0.996931,0.994146,0.986832,0.990193,0.994820,0.997810,0.767011,0.972915,0.986648,0.991725,99.179451,
41,44.693310,0.029600,3.376240,0.997199,0.994109,0.985990,0.990374,0.995204,0.997591,0.769120,0.976844,0.989500,0.993820,95.121898,
42,44.793832,0.029600,0.029600,0.997280,0.994066,0.986096,0.990446,0.995156,0.997450,0.772179,0.977035,0.989637,0.993858,95.120498,
43,44.686708,3.578854,5.156468,0.996855,0.993890,0.986666,0.990838,0.994455,0.997172,0.771495,0.971166,0.985143,0.990214,99.186994,
44,44.912992,3.578854,3.578854,0.997094,0.994201,0.986095,0.991126,0.995122,0.997464,0.774836,0.974845,0.987526,0.992081,99.528030,
45,44.958831,0.048714,5.982260,0.997074,0.994361,0.986994,0.990734,0.995309,0.997625,0.778455,0.974229,0.987451,0.992263,94.968514,
46,45.048284,0.048714,0.048714,0.997135,0.994466,0.987193,0.990946,0.995342,0.997705,0.781194,0.974810,0.987870,0.992651,95.041920,
47,45.208249,1.927672,5.039608,0.997424,0.994728,0.987047,0.991244,0.995590,0.998051,0.784509,0.979024,0.990457,0.994364,97.847809,
48,44.657419,1.927672,1.927672,0.997073,0.992841,0.985969,0.988712,0.993505,0.996386,0.773742,0.972039,0.986087,0.991396,96.973921,
49,44.268558,0.034804,5.070381,0.996905,0.992411,0.984347,0.987866,0.993130,0.996493,0.762229,0.971300,0.986220,0.991756,94.430441,
50,44.265365,0.034804,0.034804,0.996906,0.992434,0.984376,0.987850,0.993151,0.996534,0.761333,0.971294,0.986195,0.991711,94.431384,
51,44.597409,4.203106,6.851349,0.997088,0.992333,0.985182,0.988050,0.992836,0.996274,0.777012,0.970952,0.984782,0.990468,99.642819,
52,43.730606,4.203106,4.203106,0.996308,0.992192,0.984588,0.987734,0.993321,0.995873,0.756090,0.962476,0.980074,0.987262,99.101875,
53,45.463819,0.014771,6.262307,0.997620,0.994529,0.987280,0.991001,0.995378,0.997916,0.792422,0.979691,0.990164,0.993970,95.232831,
54,45.454889,0.014771,0.014771,0.997610,0.994452,0.987329,0.990932,0.995322,0.997780,0.791733,0.979541,0.990071,0.993934,95.208890,
55,44.057817,3.382472,5.367768,0.996688,0.992896,0.984717,0.988908,0.993083,0.997213,0.764794,0.966414,0.982668,0.989200,98.506937,
56,43.165909,3.382472,3.382472,0.996018,0.990313,0.981170,0.984580,0.990868,0.995418,0.739938,0.958893,0.978353,0.986288,97.486037,
57,44.447816,0.039075,4.443749,0.997306,0.993389,0.984917,0.988963,0.994454,0.997144,0.769834,0.975879,0.988829,0.993400,94.909899,
58,44.495617,0.039075,0.039075,0.997326,0.993354,0.984920,0.988945,0.994312,0.997167,0.770758,0.975578,0.988612,0.993169,94.872113,
59,43.309465,2.739596,4.265005,0.996332,0.990374,0.981130,0.985496,0.990905,0.995061,0.743242,0.961246,0.980092,0.987511,96.865994,
60,43.794617,2.739596,2.739596,0.996653,0.991153,0.983949,0.986458,0.991257,0.995495,0.758719,0.963594,0.981072,0.988099,97.134439,
61,44.103821,0.024456,4.835863,0.997130,0.992809,0.983473,0.988533,0.993221,0.997306,0.760871,0.971967,0.986956,0.992215,94.576204,
62,44.189701,0.024456,0.024456,0.997186,0.992823,0.983546,0.988722,0.993347,0.997136,0.763605,0.972244,0.986944,0.992288,94.583624,
63,44.315732,3.185457,4.955431,0.997024,0.991774,0.984349,0.987201,0.992028,0.996075,0.771648,0.968877,0.984020,0.989565,98.111753,
64,44.364111,3.185457,3.185457,0.997229,0.992331,0.983082,0.988082,0.993077,0.996687,0.771849,0.971542,0.985990,0.991106,98.455587,
65,44.630625,0.045949,5.706726,0.997162,0.992603,0.985170,0.987676,0.993469,0.996715,0.778086,0.972030,0.986409,0.991667,94.479947,
66,44.640991,0.045949,0.045949,0.997155,0.992607,0.985131,0.987661,0.993476,0.996740,0.778208,0.971980,0.986457,0.991504,94.469639,
67,44.506080,4.382049,6.254339,0.997221,0.993213,0.984773,0.988758,0.993475,0.997877,0.775924,0.972599,0.987084,0.992109,100.000000,
68,44.737307,4.382049,4.382049,0.997299,0.993369,0.986357,0.989545,0.993230,0.997573,0.784416,0.972382,0.986675,0.991911,100.000000,
69,45.335209,0.020329,7.509686,0.997832,0.993903,0.985964,0.990069,0.994951,0.997447,0.798101,0.979301,0.990742,0.994559,95.172189,
70,45.352628,0.020329,0.020329,0.997829,0.993915,0.985989,0.990074,0.994945,0.997471,0.798308,0.979229,0.990755,0.994555,95.174541,
71,44.941153,4.959744,7.838965,0.997507,0.993297,0.987043,0.989806,0.994066,0.996238,0.794302,0.973963,0.987626,0.992614,100.000000,
72,45.035539,4.959744,4.959744,0.997651,0.994065,0.986699,0.990510,0.994630,0.997541,0.794887,0.975658,0.988694,0.993365,100.000000,
73,44.433690,0.031451,8.166526,0.997342,0.992668,0.985279,0.988568,0.993379,0.996396,0.782793,0.972585,0.987041,0.992294,94.552225,
