Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.193217,0.000000,0.000000,0.996942,0.986208,0.980575,0.960926,0.984702,0.994976,0.734935,0.951253,0.976005,0.986414,92.110407,
1,18.774842,0.000000,0.000000,0.599382,0.572379,0.938432,0.671963,0.528431,0.485524,0.217133,0.256259,0.264945,0.267937,0.000000,
2,18.346623,13.715060,13.715060,0.565317,0.593097,0.948988,0.684486,0.567430,0.496453,0.212161,0.244508,0.247684,0.242401,8.924077,
3,42.575892,0.000000,18.419542,0.994961,0.977721,0.978517,0.954383,0.972808,0.987098,0.694975,0.917843,0.955706,0.973826,88.355627,
4,20.994912,0.000000,0.000000,0.705036,0.613430,0.930507,0.625418,0.575091,0.558699,0.242076,0.295975,0.316080,0.337242,0.000000,
5,17.927700,9.563633,9.563633,0.579184,0.559295,0.950838,0.734719,0.590303,0.413993,0.222160,0.260184,0.264190,0.258789,1.404525,
6,43.407146,0.000000,21.096430,0.995345,0.983933,0.983823,0.954084,0.982758,0.992096,0.712744,0.930899,0.964255,0.978866,90.468985,
7,24.315543,0.000000,0.000000,0.858642,0.700132,0.958144,0.761969,0.661144,0.644569,0.325205,0.416300,0.459828,0.509713,7.233178,
8,20.785944,5.845670,5.845670,0.700615,0.651571,0.948188,0.700469,0.626738,0.582927,0.248200,0.301678,0.322180,0.344409,7.027040,
9,21.818966,10.019311,10.019311,0.736957,0.674282,0.942293,0.666750,0.594886,0.659698,0.253351,0.316356,0.343257,0.377932,12.917477,
10,42.720525,0.000000,11.208497,0.995322,0.982773,0.978162,0.952169,0.980356,0.993285,0.693566,0.928426,0.963491,0.979118,90.222541,
11,22.411992,0.000000,0.000000,0.773561,0.584892,0.947362,0.725558,0.534009,0.492855,0.286176,0.359245,0.388862,0.420943,0.000000,
12,20.737048,7.462021,7.462021,0.669879,0.561406,0.941450,0.603368,0.499948,0.496248,0.232118,0.279128,0.296175,0.315649,0.000000,
13,43.664919,0.000000,13.657471,0.996297,0.985435,0.979345,0.960983,0.983471,0.994370,0.717931,0.946831,0.974617,0.985830,91.838715,
14,21.770238,0.000000,0.000000,0.752203,0.569451,0.948673,0.615333,0.496392,0.512406,0.258089,0.323030,0.351944,0.389203,0.000000,
15,19.917501,8.185934,8.185934,0.658563,0.552736,0.958855,0.666335,0.546196,0.435303,0.233717,0.278910,0.293860,0.310908,0.000000,
16,43.819380,6.956398,13.722332,0.996398,0.984662,0.981449,0.962757,0.982067,0.993255,0.729146,0.946709,0.974824,0.986095,100.000000,
17,43.651389,0.000000,6.956398,0.996367,0.986484,0.980627,0.962146,0.985797,0.994573,0.721708,0.947327,0.975049,0.986248,92.115110,
18,20.708905,0.000000,0.000000,0.701382,0.553019,0.948041,0.658949,0.547133,0.436370,0.256273,0.314452,0.332251,0.344473,0.000000,
19,19.565399,10.011740,10.011740,0.633384,0.540621,0.951748,0.643897,0.534598,0.417735,0.239040,0.280092,0.287373,0.288736,0.000000,
20,43.843662,0.000000,16.502581,0.996424,0.984798,0.979708,0.958822,0.983784,0.993420,0.726180,0.944327,0.972622,0.984540,91.494437,
21,20.493874,0.000000,0.000000,0.684431,0.567811,0.946991,0.604371,0.531259,0.488542,0.247988,0.296084,0.310001,0.322928,0.000000,
22,18.218514,10.316021,10.316021,0.583467,0.554329,0.944082,0.708237,0.585238,0.405606,0.234286,0.265658,0.266615,0.258170,1.052999,
23,44.844716,9.954528,19.032269,0.996592,0.985348,0.984143,0.959086,0.981929,0.993598,0.750983,0.953402,0.977404,0.987018,100.000000,
24,44.434144,0.000000,9.954528,0.996782,0.985586,0.980313,0.963403,0.984494,0.993253,0.737015,0.953776,0.977334,0.987216,92.104983,
25,21.316621,0.000000,0.000000,0.743575,0.549843,0.936774,0.631899,0.493838,0.471725,0.258662,0.320876,0.347750,0.380978,0.000000,
26,20.773324,8.479404,8.479404,0.705824,0.538373,0.940672,0.620792,0.484194,0.458281,0.249812,0.300799,0.320584,0.344235,0.000000,
27,44.568020,0.000000,13.635540,0.996735,0.986821,0.978189,0.964434,0.985729,0.995317,0.744620,0.956835,0.979375,0.988242,92.547557,
28,25.648009,0.000000,0.000000,0.903598,0.736886,0.935297,0.657178,0.652394,0.763432,0.358966,0.479507,0.535651,0.596813,14.095106,
29,21.853241,4.320436,4.320436,0.758047,0.574942,0.923100,0.608324,0.505182,0.529595,0.259036,0.326149,0.356993,0.391806,0.000000,
30,44.636252,0.000000,11.734272,0.996864,0.986965,0.980905,0.963845,0.985018,0.995745,0.748743,0.954652,0.978332,0.987980,92.500114,
31,29.426559,0.000000,0.000000,0.946458,0.855316,0.954414,0.806757,0.798019,0.879760,0.451470,0.605030,0.667018,0.725621,39.529298,
32,31.500894,1.908268,2.675881,0.971180,0.879737,0.952635,0.821535,0.834975,0.906106,0.511480,0.689162,0.751149,0.805487,51.976953,
33,24.136564,1.908268,1.908268,0.837669,0.599858,0.924679,0.566240,0.492276,0.599176,0.303902,0.391628,0.434095,0.480678,0.000000,
34,43.871582,0.000000,14.812155,0.996259,0.983408,0.979402,0.955897,0.979876,0.993318,0.720181,0.942615,0.972193,0.984472,91.170964,
35,18.064962,0.000000,0.000000,0.605706,0.549710,0.958009,0.673979,0.539973,0.420304,0.240944,0.278561,0.281835,0.274308,0.000000,
36,18.300670,15.067990,15.067990,0.608125,0.702378,0.961606,0.796414,0.758954,0.570775,0.258526,0.293975,0.294277,0.283897,20.272857,
37,44.325630,0.000000,18.834780,0.996560,0.982939,0.982493,0.959914,0.979341,0.991418,0.741226,0.945978,0.972904,0.984303,91.076370,
38,25.500515,0.000000,0.000000,0.901316,0.754055,0.955794,0.768244,0.724723,0.718526,0.436963,0.543313,0.577741,0.607698,15.538887,
39,17.980062,4.337115,4.337115,0.604870,0.617402,0.947831,0.723688,0.637996,0.499130,0.251857,0.285215,0.284967,0.273302,2.278759,
40,44.672154,4.630928,18.576157,0.996637,0.987198,0.981019,0.966636,0.986564,0.994691,0.747120,0.953031,0.976449,0.986136,98.255150,
41,44.526089,0.000000,4.630928,0.996497,0.987639,0.982182,0.966578,0.986515,0.995032,0.742500,0.950703,0.975854,0.986603,92.419138,
42,20.008464,0.000000,0.000000,0.670471,0.597067,0.955215,0.681573,0.623588,0.476852,0.255438,0.299676,0.309960,0.315906,0.000000,
43,25.552604,10.824153,10.824153,0.874173,0.697111,0.945214,0.678175,0.624837,0.685444,0.359739,0.457449,0.503553,0.555034,16.427666,
44,44.281220,0.000000,12.354703,0.996562,0.985036,0.979686,0.958419,0.984773,0.993414,0.739102,0.945270,0.972884,0.984519,91.545548,
45,23.049495,0.000000,0.000000,0.808731,0.571931,0.947037,0.617390,0.483853,0.520627,0.313457,0.383044,0.412957,0.446611,0.000000,
46,18.626898,6.527510,6.527510,0.624549,0.585264,0.962175,0.711569,0.595180,0.453595,0.253132,0.289626,0.292265,0.283368,0.068400,
47,45.014228,6.880975,18.492439,0.997057,0.987190,0.981689,0.962061,0.985965,0.995337,0.759630,0.956964,0.978918,0.987583,100.000000,
48,45.260796,0.000000,6.880975,0.996999,0.988186,0.983702,0.967830,0.987676,0.994877,0.772791,0.956063,0.978364,0.987698,92.729023,
49,21.611196,0.000000,0.000000,0.723043,0.641388,0.949530,0.693753,0.598338,0.579357,0.291348,0.336362,0.349255,0.363482,0.000000,
50,20.995352,8.619913,8.619913,0.724662,0.567901,0.941736,0.658182,0.532434,0.473452,0.287726,0.332807,0.345771,0.357342,0.000000,
51,44.584911,0.000000,13.023421,0.996661,0.984477,0.979768,0.958744,0.984577,0.992490,0.755782,0.946723,0.972986,0.984428,91.411447,
52,20.347665,0.000000,0.000000,0.673576,0.609057,0.940228,0.655125,0.569489,0.540852,0.274381,0.312877,0.319915,0.319761,0.000000,
53,19.036145,10.419323,10.419323,0.638266,0.576231,0.948486,0.725285,0.581669,0.435844,0.277333,0.309174,0.308730,0.298449,0.840750,
54,45.003822,0.000000,16.517630,0.996784,0.983603,0.982116,0.955497,0.981207,0.992356,0.754628,0.953682,0.976702,0.986109,91.543773,
55,21.083948,0.000000,0.000000,0.720610,0.556811,0.948593,0.665191,0.515206,0.455482,0.279535,0.324916,0.337409,0.349881,0.000000,
56,21.712047,8.287188,8.907605,0.733995,0.602518,0.946399,0.698188,0.593123,0.500876,0.289918,0.336063,0.350091,0.363190,1.277452,
57,20.572648,8.287188,8.287188,0.698569,0.568841,0.941610,0.650308,0.541369,0.470657,0.281668,0.324592,0.332889,0.334379,0.000000,
58,44.636885,0.000000,14.620566,0.996688,0.986248,0.979240,0.961164,0.984120,0.995673,0.742949,0.947896,0.974318,0.985534,91.956114,
59,21.294638,0.000000,0.000000,0.720423,0.608258,0.952718,0.742376,0.628329,0.475723,0.285301,0.333890,0.346986,0.354771,0.000000,
60,21.107189,8.684402,8.684402,0.728206,0.482273,0.915921,0.548175,0.383818,0.417600,0.287719,0.338730,0.353314,0.364230,0.000000,
61,47.683512,0.000000,17.112461,0.997849,0.989409,0.988879,0.972955,0.988771,0.994759,0.808570,0.968100,0.984790,0.991599,93.613659,
62,17.879252,0.000000,0.000000,0.623229,0.691549,0.974278,0.810478,0.667766,0.574446,0.302970,0.335008,0.328450,0.306801,5.301895,
