Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,49.357872,0.000000,0.000000,0.999309,0.992980,0.991178,0.985491,0.992349,0.995785,0.865270,0.982917,0.991137,0.994609,94.958417,
1,48.936524,9.662687,10.288064,0.999069,0.991317,0.991604,0.980846,0.989975,0.994721,0.860207,0.980294,0.989945,0.994122,100.000000,
2,48.697263,9.662687,9.662687,0.999166,0.992573,0.990507,0.980639,0.991291,0.996957,0.851696,0.983094,0.991903,0.995457,100.000000,
3,48.620729,9.822402,11.603731,0.999012,0.991452,0.991350,0.978698,0.989611,0.995707,0.854641,0.981209,0.990890,0.994885,100.000000,
4,47.959010,9.268587,9.822402,0.999026,0.990696,0.989382,0.975254,0.990195,0.995129,0.836991,0.981349,0.991293,0.995218,100.000000,
5,47.906790,7.352949,9.268587,0.998936,0.989602,0.990618,0.972682,0.988449,0.994385,0.841042,0.977984,0.989373,0.994167,100.000000,
6,47.386590,6.355704,7.352949,0.999021,0.989714,0.988699,0.975055,0.987849,0.994882,0.826982,0.980003,0.990663,0.994917,100.000000,
7,46.875185,6.355704,6.355704,0.998807,0.988122,0.986093,0.968888,0.985927,0.994962,0.819290,0.975308,0.988296,0.993383,100.000000,
8,46.426784,10.002264,10.002264,0.998658,0.989709,0.987590,0.967944,0.988818,0.995937,0.803702,0.974212,0.988256,0.993854,100.000000,
9,46.209906,13.844700,13.844700,0.998225,0.988899,0.988247,0.964690,0.987928,0.995735,0.785698,0.970591,0.986776,0.992985,100.000000,
10,47.225273,15.393686,16.452934,0.998832,0.991025,0.988246,0.971398,0.991377,0.996567,0.812025,0.980496,0.991350,0.995370,100.000000,
11,46.449393,10.248753,15.393686,0.998386,0.989584,0.989670,0.975429,0.985833,0.995260,0.800660,0.969488,0.985486,0.992026,100.000000,
12,47.327381,3.147230,10.248753,0.998872,0.993000,0.988635,0.980231,0.992861,0.997724,0.830609,0.978424,0.989689,0.994381,99.030446,
13,47.244016,3.147230,3.147230,0.998956,0.992298,0.988202,0.979399,0.991075,0.997671,0.828005,0.978373,0.989707,0.994381,98.876320,
14,47.329690,3.067630,3.817790,0.999165,0.993287,0.987921,0.982358,0.992422,0.998022,0.827982,0.982116,0.991554,0.995298,99.163111,
15,47.558789,3.067630,3.067630,0.999027,0.992239,0.988659,0.979910,0.991378,0.997008,0.835537,0.979347,0.990069,0.994311,98.778842,
