Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.193217,0.000000,0.000000,0.996942,0.986208,0.980575,0.960926,0.984702,0.994976,0.734935,0.951253,0.976005,0.986414,92.110407,
1,18.774842,0.000000,0.000000,0.599382,0.572379,0.938432,0.671963,0.528431,0.485524,0.217133,0.256259,0.264945,0.267937,0.000000,
2,18.351319,13.715060,13.715060,0.565224,0.592534,0.949343,0.672819,0.566189,0.498907,0.212125,0.244441,0.247601,0.242271,8.868374,
3,42.502068,0.000000,18.419542,0.994841,0.976137,0.978137,0.951855,0.972580,0.984716,0.693696,0.917545,0.955753,0.973758,88.012932,
4,20.966455,0.000000,0.000000,0.704159,0.613468,0.930764,0.619925,0.579166,0.557923,0.241574,0.295352,0.315479,0.336641,0.000000,
5,17.926955,9.563633,9.563633,0.579308,0.563178,0.949645,0.730113,0.595071,0.420581,0.221789,0.260153,0.264130,0.258657,1.804044,
6,43.347384,0.000000,21.096430,0.995280,0.981614,0.978991,0.953203,0.978541,0.991103,0.711114,0.931894,0.964308,0.978530,89.949405,
7,24.323569,0.000000,0.000000,0.858890,0.700250,0.957527,0.763477,0.662781,0.643651,0.325895,0.416778,0.460125,0.510062,7.239272,
8,20.785712,5.845670,5.845670,0.700865,0.651383,0.947621,0.697774,0.627262,0.583075,0.248222,0.301858,0.322391,0.344696,6.998679,
9,21.823671,10.019311,10.019311,0.736995,0.676412,0.942600,0.669508,0.598560,0.661205,0.253075,0.316170,0.343259,0.378141,13.207584,
10,42.617814,0.000000,11.208497,0.995263,0.982153,0.976083,0.954068,0.979184,0.992670,0.692333,0.927780,0.962726,0.978304,89.991354,
11,22.420221,0.000000,0.000000,0.774121,0.584425,0.944700,0.721653,0.533803,0.493651,0.286238,0.359354,0.389046,0.421586,0.000000,
12,20.741585,7.462021,7.462021,0.670265,0.562911,0.941455,0.611935,0.506512,0.493223,0.232312,0.279326,0.296378,0.315937,0.000000,
13,43.613354,0.000000,13.657471,0.996296,0.985907,0.978474,0.960414,0.985760,0.994381,0.716463,0.946416,0.973783,0.984942,91.833801,
14,21.769675,0.000000,0.000000,0.752186,0.570884,0.946955,0.620107,0.498730,0.513166,0.257851,0.322708,0.351790,0.388984,0.000000,
15,19.925741,8.185934,8.185934,0.658930,0.557841,0.957040,0.673744,0.545853,0.444372,0.234360,0.279398,0.294334,0.311433,0.000000,
16,43.717130,6.956398,13.722332,0.996392,0.983251,0.979371,0.959826,0.980863,0.992307,0.727371,0.945869,0.974054,0.985283,100.000000,
17,43.472984,0.000000,6.956398,0.996322,0.986803,0.978382,0.962841,0.986608,0.995114,0.717875,0.945766,0.973991,0.985331,92.063763,
18,20.710489,0.000000,0.000000,0.702054,0.552742,0.945308,0.657005,0.548164,0.436356,0.256491,0.314396,0.332228,0.344474,0.000000,
19,19.569808,10.011740,10.011740,0.633851,0.537140,0.949483,0.644706,0.534962,0.410722,0.238842,0.279909,0.287269,0.288801,0.000000,
20,43.527913,0.000000,16.502581,0.996281,0.980684,0.975540,0.953416,0.979424,0.989799,0.716595,0.940390,0.969977,0.982649,90.339131,
21,20.497389,0.000000,0.000000,0.684816,0.570718,0.944197,0.604738,0.535492,0.492723,0.247628,0.295936,0.309904,0.323088,0.000000,
22,18.221077,10.316021,10.316021,0.583907,0.551256,0.941542,0.699277,0.587668,0.400970,0.234053,0.265302,0.266299,0.257977,0.766037,
23,44.853945,9.954528,19.032269,0.996584,0.984327,0.982763,0.956838,0.980097,0.993363,0.750437,0.953405,0.977241,0.986601,100.000000,
24,44.413038,0.000000,9.954528,0.996806,0.985417,0.980135,0.961370,0.984342,0.993568,0.736631,0.954170,0.977529,0.987222,92.079239,
25,21.316165,0.000000,0.000000,0.743576,0.547851,0.936533,0.625914,0.486590,0.473361,0.258535,0.320907,0.347800,0.381153,0.000000,
26,20.771755,8.479404,8.479404,0.705911,0.534281,0.941516,0.621563,0.481947,0.450809,0.249753,0.300710,0.320491,0.344159,0.000000,
27,44.558985,0.000000,13.635540,0.996712,0.985636,0.978094,0.965714,0.984068,0.993507,0.744078,0.956890,0.979085,0.987923,92.253567,
28,25.649753,0.000000,0.000000,0.903550,0.737867,0.935723,0.654318,0.665844,0.758415,0.359037,0.479319,0.535505,0.597076,14.263123,
29,21.856329,4.320436,4.320436,0.758293,0.576996,0.923370,0.612131,0.507125,0.531633,0.259434,0.326497,0.357183,0.391906,0.000000,
30,44.542947,0.000000,11.734272,0.996843,0.986177,0.980062,0.962832,0.983745,0.995315,0.746240,0.953740,0.977707,0.987525,92.265004,
31,29.428748,0.000000,0.000000,0.946294,0.851933,0.954600,0.803758,0.799188,0.872805,0.450855,0.605157,0.667235,0.725670,38.910978,
32,31.512235,1.908268,2.675881,0.971315,0.881323,0.952437,0.825634,0.832960,0.909522,0.510671,0.688778,0.750878,0.805328,52.276973,
33,24.138812,1.908268,1.908268,0.838000,0.602243,0.925111,0.568504,0.497415,0.600418,0.303838,0.391629,0.434215,0.480833,0.000000,
34,43.767471,0.000000,14.812155,0.996207,0.981194,0.978618,0.952982,0.977181,0.991177,0.716240,0.940691,0.971167,0.984008,90.609919,
35,18.067131,0.000000,0.000000,0.605882,0.546449,0.957991,0.676501,0.529492,0.418602,0.241108,0.278653,0.281924,0.274480,0.000000,
36,18.303822,15.067990,15.067990,0.608168,0.699367,0.963637,0.805115,0.756625,0.562817,0.258514,0.293933,0.294232,0.283882,19.890110,
37,44.287639,0.000000,18.834780,0.996511,0.984085,0.983648,0.959496,0.981380,0.992456,0.739156,0.945679,0.972593,0.983995,91.287135,
38,25.459155,0.000000,0.000000,0.900381,0.754132,0.956444,0.767205,0.719670,0.721814,0.435266,0.541993,0.576595,0.607129,15.555270,
39,17.980567,4.337115,4.337115,0.605495,0.616931,0.950449,0.734234,0.636121,0.495962,0.251907,0.285483,0.285247,0.273664,2.213067,
40,44.662340,4.630928,18.576157,0.996585,0.987212,0.982266,0.966329,0.986353,0.994642,0.746326,0.952371,0.975817,0.985393,98.168417,
41,44.511466,0.000000,4.630928,0.996510,0.986962,0.981808,0.965607,0.985171,0.994738,0.742785,0.950641,0.975687,0.986172,92.230645,
42,20.010446,0.000000,0.000000,0.670569,0.597771,0.957037,0.686571,0.620337,0.478410,0.255373,0.299461,0.309826,0.315887,0.000000,
43,25.554648,10.824153,10.824153,0.874257,0.698586,0.947021,0.683906,0.623848,0.687146,0.359518,0.457415,0.503531,0.555085,16.655790,
44,44.048734,0.000000,12.354703,0.996477,0.983365,0.979953,0.954689,0.981205,0.992896,0.732783,0.941915,0.970498,0.982555,90.920180,
45,23.060410,0.000000,0.000000,0.809339,0.573011,0.947350,0.621267,0.483444,0.522003,0.313885,0.383482,0.413310,0.446653,0.000000,
46,18.629972,6.527510,6.527510,0.624698,0.589301,0.962670,0.718143,0.600937,0.456979,0.253088,0.289601,0.292216,0.283268,0.505830,
47,45.272241,6.880975,18.492439,0.997078,0.988699,0.984770,0.969516,0.987804,0.994834,0.766242,0.958298,0.979224,0.987558,100.000000,
48,45.423201,0.000000,6.880975,0.997007,0.989816,0.987306,0.972827,0.988804,0.995445,0.777175,0.957001,0.978445,0.987411,93.063254,
49,21.612006,0.000000,0.000000,0.723279,0.642933,0.951239,0.694065,0.602261,0.579821,0.291455,0.336547,0.349348,0.363543,0.000000,
50,20.996794,8.619913,8.619913,0.724853,0.566776,0.942661,0.664591,0.533885,0.468275,0.287895,0.332981,0.345945,0.357594,0.000000,
51,44.483590,0.000000,13.023421,0.996642,0.983268,0.983173,0.961706,0.980776,0.990549,0.752659,0.945628,0.972112,0.983661,91.050303,
52,20.350179,0.000000,0.000000,0.673699,0.609408,0.941507,0.649698,0.569679,0.542636,0.274235,0.313007,0.320027,0.319773,0.000000,
53,19.040062,10.419323,10.419323,0.638530,0.578300,0.948366,0.726716,0.580973,0.440230,0.277992,0.309534,0.308991,0.298680,1.045746,
54,44.917298,0.000000,16.517630,0.996686,0.983195,0.981022,0.954521,0.980816,0.992252,0.750699,0.952431,0.975618,0.985159,91.331644,
55,21.086583,0.000000,0.000000,0.721089,0.557811,0.950217,0.660188,0.516278,0.457804,0.279558,0.325080,0.337691,0.350474,0.000000,
56,21.714766,8.287188,8.907605,0.734212,0.603051,0.947142,0.703767,0.593502,0.500140,0.289554,0.335838,0.349977,0.363332,1.355479,
57,20.574230,8.287188,8.287188,0.698733,0.568445,0.942099,0.653505,0.546827,0.465788,0.281705,0.324737,0.333095,0.334574,0.000000,
58,44.497798,0.000000,14.620566,0.996632,0.985676,0.978354,0.959513,0.983401,0.995538,0.740211,0.946742,0.973550,0.984755,91.735576,
59,21.300655,0.000000,0.000000,0.720544,0.609403,0.954215,0.755565,0.625863,0.475604,0.284927,0.333593,0.346855,0.354830,0.000000,
60,21.114214,8.684402,8.684402,0.728303,0.482195,0.915815,0.551657,0.384697,0.415892,0.287387,0.338545,0.353212,0.364092,0.000000,
61,47.683512,0.000000,17.112461,0.997849,0.989409,0.988879,0.972955,0.988771,0.994759,0.808570,0.968100,0.984790,0.991599,93.613659,
62,17.879252,0.000000,0.000000,0.623229,0.691549,0.974278,0.810478,0.667766,0.574446,0.302970,0.335008,0.328450,0.306801,5.301895,
