Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.084227,0.000000,0.000000,0.997030,0.985903,0.980152,0.962382,0.986663,0.992936,0.731523,0.949549,0.975176,0.986033,91.975366,
1,18.776685,0.000000,0.000000,0.599366,0.573578,0.938005,0.667726,0.532229,0.487023,0.215995,0.255808,0.264585,0.267435,0.000000,
2,18.348250,13.715060,13.715060,0.565283,0.593711,0.950260,0.683104,0.565359,0.498888,0.211363,0.244153,0.247400,0.242089,9.013580,
3,43.596875,0.000000,18.419542,0.996342,0.981360,0.981327,0.963525,0.977413,0.988789,0.723840,0.938548,0.968278,0.981512,90.307424,
4,20.969662,0.000000,0.000000,0.704053,0.614709,0.933755,0.625172,0.586818,0.553873,0.241114,0.295106,0.315076,0.336149,0.000000,
5,17.925898,9.563633,9.563633,0.579258,0.562189,0.952217,0.726264,0.597676,0.417651,0.221711,0.260120,0.264178,0.258784,1.705253,
6,44.374382,0.000000,21.096430,0.996739,0.984908,0.984472,0.961314,0.984239,0.991297,0.740857,0.949741,0.974243,0.984615,91.598345,
7,24.313682,0.000000,0.000000,0.858668,0.697333,0.959491,0.757439,0.661190,0.639583,0.325379,0.416732,0.460490,0.510891,6.855165,
8,20.780445,5.845670,5.845670,0.699955,0.651931,0.946645,0.696180,0.626585,0.585269,0.247770,0.301111,0.321760,0.344392,7.101418,
9,21.811375,10.019311,10.019311,0.736263,0.679287,0.941728,0.667731,0.598247,0.667977,0.252710,0.315496,0.342682,0.377731,13.606234,
10,43.931622,0.000000,11.208497,0.996907,0.986146,0.978054,0.963067,0.985931,0.994212,0.731279,0.951085,0.975948,0.986350,92.092543,
11,22.410641,0.000000,0.000000,0.773645,0.583433,0.945088,0.724164,0.536130,0.489469,0.286268,0.359235,0.388929,0.421436,0.000000,
12,20.737864,7.462021,7.462021,0.669391,0.559193,0.939512,0.607566,0.501118,0.490244,0.231596,0.278766,0.295928,0.315674,0.000000,
13,43.785986,0.000000,13.657471,0.996816,0.985204,0.978300,0.962038,0.984372,0.993340,0.725614,0.948774,0.974857,0.985625,91.781411,
14,21.768949,0.000000,0.000000,0.752117,0.570110,0.947176,0.619531,0.501854,0.509878,0.257620,0.322623,0.351822,0.389135,0.000000,
15,19.927848,8.185934,8.185934,0.659189,0.559375,0.957369,0.674377,0.552719,0.443530,0.233690,0.278885,0.293982,0.311130,0.000000,
16,43.774580,6.956398,13.722332,0.996627,0.981179,0.979121,0.958875,0.977088,0.990527,0.731911,0.946254,0.973874,0.984929,99.524609,
17,43.584050,0.000000,6.956398,0.996549,0.987364,0.978100,0.962987,0.986932,0.996115,0.722832,0.945974,0.973891,0.985166,92.162893,
18,20.712737,0.000000,0.000000,0.702334,0.553296,0.945561,0.656190,0.555604,0.433422,0.256436,0.314367,0.332304,0.344826,0.000000,
19,19.571845,10.011740,10.011740,0.633827,0.544856,0.951276,0.646934,0.534954,0.425567,0.238758,0.279860,0.287297,0.288885,0.000000,
20,43.508684,0.000000,16.502581,0.996411,0.980006,0.977768,0.955556,0.977448,0.988423,0.718433,0.938062,0.968118,0.981691,90.027098,
21,20.497228,0.000000,0.000000,0.685045,0.568874,0.946181,0.606726,0.532574,0.489567,0.247657,0.296009,0.310103,0.323093,0.000000,
22,18.219244,10.316021,10.316021,0.583677,0.551618,0.943945,0.702902,0.586046,0.401074,0.233893,0.265171,0.266143,0.257739,0.811358,
23,44.833816,9.954528,19.032269,0.996684,0.984059,0.984844,0.957767,0.979182,0.992573,0.750495,0.950904,0.975443,0.985687,100.000000,
24,44.361822,0.000000,9.954528,0.996877,0.982717,0.981292,0.963251,0.980145,0.989629,0.736035,0.950071,0.974854,0.985496,91.227334,
25,21.327212,0.000000,0.000000,0.743905,0.552116,0.936513,0.632663,0.490824,0.477967,0.258409,0.320722,0.347622,0.380946,0.000000,
26,20.770426,8.479404,8.479404,0.706045,0.533891,0.942376,0.618273,0.481034,0.451188,0.249854,0.300705,0.320503,0.344149,0.000000,
27,44.440286,0.000000,13.635540,0.996799,0.983807,0.979188,0.965165,0.979058,0.992522,0.742188,0.953396,0.977154,0.986882,91.679387,
28,25.659772,0.000000,0.000000,0.903854,0.730340,0.935426,0.651454,0.648981,0.753418,0.359988,0.479990,0.535998,0.597179,13.067191,
29,21.857943,4.320436,4.320436,0.758504,0.571211,0.923711,0.609834,0.520413,0.512635,0.259403,0.326367,0.357112,0.391859,0.000000,
30,44.579484,0.000000,11.734272,0.996968,0.985730,0.980294,0.962389,0.983535,0.994575,0.748264,0.952785,0.976789,0.986834,92.067702,
31,29.437171,0.000000,0.000000,0.946517,0.854981,0.955110,0.806094,0.798462,0.878827,0.452220,0.605406,0.667201,0.725600,39.459965,
32,31.526876,1.908268,2.675881,0.971411,0.882130,0.952925,0.829757,0.836802,0.907676,0.513369,0.689881,0.751505,0.805371,52.435927,
33,24.134936,1.908268,1.908268,0.838262,0.598860,0.924482,0.570240,0.493227,0.595408,0.304570,0.391660,0.434209,0.480681,0.000000,
34,43.831263,0.000000,14.812155,0.996465,0.980385,0.978417,0.956171,0.976141,0.989319,0.720460,0.940710,0.970795,0.983555,90.378587,
35,18.067421,0.000000,0.000000,0.606221,0.554794,0.957046,0.676396,0.556431,0.421525,0.240631,0.278065,0.281396,0.274098,0.000000,
36,18.311081,15.067990,15.067990,0.608419,0.697359,0.962674,0.794876,0.755812,0.562012,0.258445,0.293971,0.294337,0.284024,19.634221,
37,44.276111,0.000000,18.834780,0.996689,0.981061,0.983573,0.957910,0.977690,0.988719,0.741039,0.943762,0.971010,0.982846,90.465757,
38,25.450346,0.000000,0.000000,0.900809,0.752580,0.956373,0.773467,0.727653,0.712118,0.436799,0.542055,0.576598,0.607253,15.294420,
39,17.975992,4.337115,4.337115,0.604991,0.616548,0.951266,0.714605,0.639885,0.497748,0.251416,0.284917,0.284673,0.273189,2.204280,
40,44.602655,4.630928,18.576157,0.996766,0.985685,0.982454,0.966310,0.984526,0.992478,0.745916,0.949866,0.974115,0.984422,97.673981,
41,44.501201,0.000000,4.630928,0.996699,0.985853,0.982510,0.963825,0.983363,0.993780,0.743474,0.949278,0.974798,0.985973,91.930813,
42,20.012946,0.000000,0.000000,0.670990,0.594864,0.957847,0.683116,0.611984,0.477858,0.255367,0.299454,0.309839,0.316092,0.000000,
43,25.556329,10.824153,10.824153,0.874745,0.699631,0.947204,0.682297,0.628210,0.687162,0.360625,0.458353,0.504638,0.556411,16.839359,
44,44.104645,0.000000,12.354703,0.996667,0.983661,0.981034,0.956581,0.980490,0.993160,0.736185,0.942108,0.970433,0.982862,91.002791,
45,23.056538,0.000000,0.000000,0.809444,0.573060,0.948661,0.620500,0.481564,0.523059,0.314180,0.383401,0.413391,0.446905,0.000000,
46,18.628648,6.527510,6.527510,0.625135,0.587863,0.962613,0.711019,0.594790,0.459109,0.253102,0.289545,0.292232,0.283458,0.353404,
47,45.258646,6.880975,18.492439,0.997171,0.987129,0.985662,0.964107,0.985188,0.994201,0.768653,0.955684,0.977537,0.986635,100.000000,
48,45.423575,0.000000,6.880975,0.997134,0.987679,0.987402,0.967305,0.985547,0.994309,0.778551,0.955895,0.977766,0.987157,92.545221,
49,21.613725,0.000000,0.000000,0.723648,0.643669,0.951218,0.703038,0.602350,0.578949,0.290737,0.336189,0.349199,0.363408,0.049112,
50,20.993869,8.619913,8.619913,0.725098,0.567930,0.944323,0.658222,0.534011,0.471962,0.287678,0.332883,0.346027,0.357914,0.000000,
51,44.512495,0.000000,13.023421,0.996815,0.981841,0.983664,0.960771,0.978619,0.988954,0.756185,0.945445,0.971736,0.983143,90.680874,
52,20.349248,0.000000,0.000000,0.674524,0.607561,0.941055,0.660341,0.567596,0.537219,0.274404,0.313254,0.320263,0.320141,0.000000,
53,19.040628,10.419323,10.419323,0.638605,0.581306,0.949172,0.728467,0.596360,0.437107,0.277336,0.309224,0.308822,0.298522,1.395114,
54,44.876674,0.000000,16.517630,0.996845,0.980899,0.982143,0.954113,0.978407,0.988699,0.751245,0.949825,0.973993,0.984326,90.688681,
55,21.094497,0.000000,0.000000,0.721380,0.555640,0.948887,0.658440,0.514966,0.454853,0.279861,0.325356,0.337959,0.350421,0.000000,
56,21.715775,8.287188,8.907605,0.734588,0.604307,0.946374,0.703333,0.594717,0.502338,0.289896,0.336032,0.350231,0.363539,1.494648,
57,20.572751,8.287188,8.287188,0.699286,0.570396,0.943505,0.656221,0.541585,0.471730,0.281826,0.324740,0.333091,0.334727,0.000000,
58,44.561734,0.000000,14.620566,0.996810,0.985582,0.978490,0.963142,0.982829,0.994679,0.744061,0.946201,0.972806,0.984321,91.642790,
59,21.305427,0.000000,0.000000,0.720965,0.607700,0.952444,0.745733,0.628458,0.473707,0.285414,0.333811,0.347076,0.355066,0.000000,
60,21.114600,8.684402,8.684402,0.728923,0.483996,0.916561,0.549355,0.383189,0.421177,0.288161,0.338861,0.353466,0.364413,0.000000,
61,47.742841,0.000000,17.112461,0.997904,0.989897,0.991497,0.974159,0.989057,0.994430,0.810698,0.967881,0.984350,0.991089,93.657334,
62,17.878906,0.000000,0.000000,0.622818,0.692779,0.978807,0.813199,0.640159,0.590689,0.302751,0.334664,0.328183,0.306623,5.472329,
63,19.406045,14.436705,16.403652,0.656090,0.667312,0.956413,0.833941,0.684325,0.530189,0.303881,0.334752,0.333038,0.319298,13.711473,
64,44.355925,10.976078,14.436705,0.996610,0.980935,0.978096,0.959579,0.976257,0.989664,0.747084,0.938273,0.966964,0.980241,100.000000,
65,45.283163,0.000000,10.976078,0.996488,0.986061,0.988705,0.963076,0.984427,0.991948,0.766986,0.941580,0.969466,0.982109,91.390171,
66,17.701856,0.000000,0.000000,0.624945,0.638837,0.955006,0.775829,0.662073,0.511231,0.289608,0.312584,0.306699,0.288139,0.031133,
67,20.767066,13.990835,16.006727,0.737243,0.712946,0.960882,0.820114,0.716301,0.615160,0.347273,0.387432,0.391997,0.389070,18.509040,
68,46.612991,0.000000,13.990835,0.996464,0.986830,0.990830,0.970716,0.984296,0.991705,0.783030,0.945651,0.971591,0.983224,91.738969,
69,18.145004,0.000000,0.000000,0.626849,0.591602,0.951801,0.731137,0.590175,0.433382,0.326377,0.354940,0.346072,0.319695,0.000000,
