Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.729936,0.000000,0.000000,0.998063,0.986595,0.982180,0.960611,0.986567,0.994409,0.753833,0.962410,0.982157,0.990160,92.787055,
1,18.781112,0.000000,0.000000,0.599433,0.572640,0.937906,0.676514,0.529403,0.484445,0.216973,0.256382,0.264978,0.267707,0.000000,
2,18.347971,13.715060,13.715060,0.564968,0.593726,0.948790,0.677181,0.567605,0.499584,0.211929,0.244235,0.247470,0.242190,9.006593,
3,44.279521,0.000000,18.419542,0.997583,0.982534,0.980574,0.965126,0.980217,0.989338,0.747127,0.952901,0.976361,0.986362,91.321896,
4,20.970112,0.000000,0.000000,0.703754,0.615649,0.930978,0.622693,0.592651,0.553808,0.241952,0.295635,0.315493,0.336687,0.000000,
5,17.924566,9.563633,9.563633,0.578701,0.561902,0.949253,0.739977,0.592304,0.417221,0.221691,0.260120,0.264154,0.258704,1.676419,
6,44.386198,0.000000,21.096430,0.997424,0.982917,0.982400,0.959857,0.980791,0.990020,0.744319,0.953602,0.977085,0.986859,91.480841,
7,24.324005,0.000000,0.000000,0.858584,0.694844,0.956805,0.758794,0.657850,0.636663,0.325343,0.417043,0.460989,0.511373,6.506318,
8,20.782437,5.845670,5.845670,0.699926,0.650364,0.947401,0.704168,0.623937,0.581253,0.247581,0.301371,0.322060,0.344652,6.902046,
9,21.821941,10.019311,10.019311,0.736181,0.675654,0.942546,0.671177,0.598413,0.659302,0.252390,0.315352,0.342694,0.377732,13.140493,
10,43.241678,0.000000,11.208497,0.996994,0.981512,0.975663,0.953930,0.979114,0.991511,0.714695,0.941438,0.970737,0.983465,90.620872,
11,22.413374,0.000000,0.000000,0.773703,0.581266,0.946308,0.725379,0.533897,0.485660,0.286387,0.359233,0.388997,0.421566,0.000000,
12,20.739282,7.462021,7.462021,0.669263,0.562589,0.939705,0.608424,0.504660,0.495001,0.231844,0.279072,0.296227,0.315829,0.000000,
13,44.143701,0.000000,13.657471,0.997675,0.985033,0.977156,0.960409,0.985903,0.992798,0.736984,0.956890,0.979698,0.988905,92.234939,
14,21.768407,0.000000,0.000000,0.752017,0.569857,0.946920,0.622071,0.497447,0.511273,0.257464,0.322463,0.351857,0.389571,0.000000,
15,19.928774,8.185934,8.185934,0.658709,0.559081,0.957852,0.673202,0.548835,0.445207,0.233730,0.279168,0.294277,0.311433,0.000000,
16,44.289853,6.956398,13.722332,0.997668,0.982533,0.980416,0.959031,0.977944,0.992542,0.748369,0.957014,0.980100,0.989080,100.000000,
17,44.174102,0.000000,6.956398,0.997683,0.988236,0.979258,0.964576,0.988006,0.996618,0.741087,0.958282,0.980776,0.989499,93.024194,
18,20.712556,0.000000,0.000000,0.702252,0.556363,0.947184,0.661024,0.549901,0.441353,0.256663,0.314603,0.332481,0.344965,0.000000,
19,19.569699,10.011740,10.011740,0.633474,0.536355,0.951579,0.642876,0.529381,0.412165,0.238791,0.279834,0.287204,0.288799,0.000000,
20,44.247110,0.000000,16.502581,0.997677,0.980947,0.977287,0.957168,0.979132,0.989104,0.741699,0.953693,0.977121,0.986959,91.067312,
21,20.497668,0.000000,0.000000,0.684808,0.568300,0.944979,0.609214,0.531843,0.488428,0.247765,0.296033,0.310039,0.323011,0.000000,
22,18.217038,10.316021,10.316021,0.583395,0.553780,0.943358,0.708152,0.587390,0.403622,0.233873,0.265313,0.266306,0.257898,1.020527,
23,45.380160,9.954528,19.032269,0.997818,0.983558,0.982103,0.955890,0.980457,0.992042,0.767231,0.961597,0.981731,0.989613,100.000000,
24,44.809111,0.000000,9.954528,0.997920,0.982248,0.979783,0.960764,0.979787,0.989866,0.751833,0.960634,0.981062,0.989448,91.736022,
25,21.323395,0.000000,0.000000,0.742872,0.551411,0.935659,0.638012,0.491300,0.475031,0.257963,0.320323,0.347432,0.380880,0.000000,
26,20.771843,8.479404,8.479404,0.705306,0.535943,0.939836,0.615466,0.475521,0.459721,0.249456,0.300372,0.320213,0.343940,0.000000,
27,44.813172,0.000000,13.635540,0.997820,0.983215,0.976807,0.962714,0.980404,0.991707,0.755724,0.962604,0.982425,0.990220,92.071003,
28,25.655600,0.000000,0.000000,0.903532,0.738536,0.934549,0.657513,0.652298,0.766957,0.359293,0.480242,0.536261,0.597533,14.366570,
29,21.860286,4.320436,4.320436,0.758074,0.577523,0.921339,0.609890,0.517262,0.527955,0.259122,0.326345,0.357198,0.392061,0.000000,
30,45.011215,0.000000,11.734272,0.997907,0.985078,0.978293,0.961549,0.983443,0.993950,0.763985,0.962959,0.982808,0.990681,92.522462,
31,29.427057,0.000000,0.000000,0.946462,0.855058,0.953093,0.802150,0.801925,0.878484,0.453013,0.607092,0.668605,0.726904,39.549469,
32,31.505176,1.908268,2.675881,0.971461,0.883525,0.951377,0.834851,0.833835,0.911282,0.515314,0.691862,0.752782,0.806760,52.811940,
33,24.130898,1.908268,1.908268,0.837868,0.599341,0.924634,0.569453,0.490097,0.598455,0.303899,0.391538,0.434244,0.480758,0.000000,
34,44.261454,0.000000,14.812155,0.997444,0.981174,0.976224,0.953489,0.975205,0.992666,0.735883,0.951691,0.977107,0.987519,91.159154,
35,18.064139,0.000000,0.000000,0.605796,0.546326,0.955747,0.674559,0.526044,0.421251,0.240923,0.278511,0.281743,0.274334,0.000000,
36,18.309174,15.067990,15.067990,0.608080,0.697683,0.960037,0.798344,0.756131,0.562348,0.258369,0.293965,0.294342,0.284057,19.676531,
37,44.548884,0.000000,18.834780,0.997464,0.980988,0.980864,0.959480,0.977466,0.988934,0.751528,0.950627,0.975041,0.985557,90.854028,
