Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.727949,0.000000,0.000000,0.998052,0.986859,0.979619,0.961693,0.987525,0.994725,0.753769,0.962266,0.982119,0.990164,92.842167,
1,18.779309,0.000000,0.000000,0.599335,0.572986,0.937328,0.671820,0.530551,0.485858,0.217100,0.256403,0.264972,0.267593,0.000000,
2,18.347401,13.715060,13.715060,0.564661,0.594069,0.950359,0.677342,0.567582,0.499875,0.211791,0.244265,0.247492,0.242205,9.042462,
3,44.315081,0.000000,18.419542,0.997612,0.982550,0.982016,0.965110,0.979181,0.989644,0.748313,0.953517,0.977127,0.987143,91.421991,
4,20.968690,0.000000,0.000000,0.703717,0.616067,0.933594,0.624070,0.589509,0.555513,0.242273,0.295837,0.315666,0.336777,0.000000,
5,17.925956,9.563633,9.563633,0.578820,0.561793,0.951801,0.737676,0.591568,0.417351,0.221796,0.260108,0.264097,0.258728,1.665891,
6,44.389173,0.000000,21.096430,0.997457,0.983110,0.984479,0.959326,0.980813,0.990036,0.744809,0.953626,0.976949,0.986644,91.499219,
7,24.323814,0.000000,0.000000,0.858541,0.698589,0.958978,0.754896,0.658245,0.644607,0.325315,0.417152,0.460969,0.511301,7.035040,
8,20.781716,5.845670,5.845670,0.699778,0.653245,0.948820,0.710305,0.626435,0.583843,0.247778,0.301547,0.322061,0.344349,7.241471,
9,21.819471,10.019311,10.019311,0.736345,0.674432,0.944164,0.666432,0.598142,0.657801,0.252416,0.315665,0.342864,0.377929,12.972448,
10,43.244921,0.000000,11.208497,0.997009,0.982349,0.978000,0.955834,0.980117,0.991619,0.714953,0.941807,0.971155,0.983853,90.851290,
11,22.417533,0.000000,0.000000,0.773687,0.583495,0.946597,0.722996,0.531152,0.492472,0.285654,0.358981,0.388821,0.421611,0.000000,
12,20.740245,7.462021,7.462021,0.669307,0.557035,0.941140,0.608987,0.503020,0.483839,0.231505,0.278805,0.295956,0.315616,0.000000,
13,44.135612,0.000000,13.657471,0.997694,0.985690,0.979265,0.961978,0.985518,0.993480,0.736801,0.957095,0.979973,0.989130,92.407922,
14,21.765263,0.000000,0.000000,0.751872,0.570272,0.947738,0.619851,0.501507,0.510198,0.257499,0.322646,0.351942,0.389582,0.000000,
15,19.929088,8.185934,8.185934,0.658582,0.557592,0.960200,0.678693,0.549145,0.440167,0.233735,0.279101,0.294160,0.311224,0.000000,
16,44.278581,6.956398,13.722332,0.997680,0.982434,0.982127,0.959316,0.978253,0.991653,0.747820,0.957066,0.979938,0.988940,100.000000,
17,44.152074,0.000000,6.956398,0.997679,0.988746,0.980936,0.965276,0.990434,0.995715,0.740460,0.958167,0.980624,0.989551,93.132202,
18,20.713131,0.000000,0.000000,0.702282,0.553600,0.949409,0.656806,0.542230,0.440591,0.256696,0.314740,0.332659,0.345180,0.000000,
19,19.568288,10.011740,10.011740,0.633368,0.538298,0.952848,0.641711,0.532599,0.414367,0.238749,0.279856,0.287242,0.288814,0.000000,
20,44.271181,0.000000,16.502581,0.997736,0.981607,0.979013,0.958108,0.979577,0.989558,0.742005,0.954135,0.977618,0.987459,91.272815,
21,20.495290,0.000000,0.000000,0.684768,0.567420,0.947278,0.608175,0.531893,0.486304,0.247725,0.296150,0.310101,0.322928,0.000000,
22,18.216874,10.316021,10.316021,0.583171,0.552787,0.944064,0.702138,0.586901,0.403111,0.233916,0.265232,0.266259,0.257888,0.924433,
23,45.405575,9.954528,19.032269,0.997825,0.984713,0.986088,0.958565,0.981882,0.992023,0.767578,0.961555,0.981596,0.989572,100.000000,
24,44.852664,0.000000,9.954528,0.997934,0.982388,0.983055,0.962426,0.979407,0.989184,0.752618,0.960489,0.980859,0.989281,91.742655,
25,21.323166,0.000000,0.000000,0.743110,0.550202,0.938731,0.632036,0.486963,0.475874,0.257899,0.320444,0.347531,0.381161,0.000000,
26,20.769058,8.479404,8.479404,0.705153,0.539955,0.942674,0.619790,0.484281,0.461272,0.249347,0.300196,0.320037,0.343612,0.000000,
27,44.816888,0.000000,13.635540,0.997843,0.983913,0.979307,0.964873,0.980178,0.992150,0.755785,0.962664,0.982512,0.990226,92.226450,
28,25.655161,0.000000,0.000000,0.903566,0.735143,0.937125,0.654472,0.654911,0.758729,0.358886,0.479964,0.536031,0.597440,13.839121,
29,21.855741,4.320436,4.320436,0.757966,0.566054,0.924894,0.616073,0.506364,0.508126,0.258938,0.326242,0.357194,0.392212,0.000000,
30,44.768886,0.000000,11.734272,0.997788,0.985183,0.980235,0.960409,0.982546,0.994566,0.758042,0.959414,0.980765,0.989488,92.351241,
31,29.460338,0.000000,0.000000,0.946738,0.853178,0.955372,0.803690,0.799502,0.875057,0.453299,0.607234,0.668682,0.727088,39.208881,
32,31.530805,1.908268,2.675881,0.971557,0.879713,0.953610,0.823292,0.831696,0.907285,0.514399,0.691077,0.752240,0.806177,52.018964,
33,24.127611,1.908268,1.908268,0.838139,0.600833,0.926353,0.569212,0.495797,0.597918,0.304051,0.391704,0.434347,0.480759,0.000000,
34,43.632161,0.000000,14.812155,0.996944,0.979745,0.978008,0.948506,0.971949,0.992307,0.717877,0.939689,0.970336,0.983261,90.197121,
35,18.067196,0.000000,0.000000,0.605807,0.553273,0.957468,0.679583,0.551694,0.420028,0.240843,0.278436,0.281709,0.274300,0.000000,
36,18.315306,15.067990,15.067990,0.608142,0.699608,0.962190,0.804811,0.753135,0.565835,0.258104,0.293836,0.294249,0.284054,19.928773,
37,44.021786,0.000000,18.834780,0.997055,0.979631,0.981749,0.958751,0.973507,0.988407,0.736425,0.942721,0.971296,0.983669,90.236089,
38,25.453311,0.000000,0.000000,0.901005,0.757081,0.954966,0.779439,0.726657,0.720928,0.436960,0.542646,0.577092,0.607607,16.039254,
39,17.976117,4.337115,4.337115,0.605055,0.618655,0.949800,0.729298,0.639834,0.498814,0.251506,0.284855,0.284660,0.273173,2.440449,
40,44.075711,4.630928,18.576157,0.996991,0.981528,0.980850,0.959327,0.978278,0.989734,0.734411,0.944426,0.971679,0.983253,96.544839,
41,44.302087,0.000000,4.630928,0.997179,0.983274,0.979848,0.958785,0.980620,0.991953,0.740135,0.949747,0.975774,0.986768,91.483829,
42,20.014159,0.000000,0.000000,0.670414,0.598464,0.955929,0.681756,0.624256,0.479135,0.255035,0.298997,0.309420,0.315571,0.000000,
43,25.558987,10.824153,10.824153,0.874380,0.701662,0.945394,0.683487,0.628619,0.691283,0.360171,0.457802,0.503931,0.555627,17.133144,
44,44.709367,0.000000,12.354703,0.997697,0.984480,0.979514,0.957531,0.983395,0.993319,0.753580,0.955397,0.978633,0.988040,91.978825,
45,23.056645,0.000000,0.000000,0.809348,0.571286,0.946725,0.620944,0.481829,0.519589,0.314083,0.383132,0.413145,0.446823,0.000000,
46,18.626483,6.527510,6.527510,0.624784,0.589113,0.962729,0.717023,0.600796,0.456935,0.252768,0.289197,0.291929,0.283232,0.509479,
