Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,44.729936,0.998063,0.986595,0.982180,0.960611,0.986567,0.994409,0.753833,0.962410,0.982157,0.990160,92.787055,
1,0.000000,0.000000,18.781275,0.599409,0.572246,0.938057,0.676088,0.528204,0.484394,0.216995,0.256410,0.265011,0.267764,0.000000,
2,13.715060,13.715060,18.350768,0.565066,0.593362,0.947767,0.677361,0.569214,0.498161,0.211989,0.244359,0.247588,0.242310,8.960855,
3,0.000000,18.419542,44.277786,0.997587,0.982678,0.979635,0.966031,0.980475,0.989448,0.747180,0.953514,0.977050,0.986938,91.431031,
4,0.000000,0.000000,20.967943,0.703714,0.616466,0.929915,0.621015,0.592656,0.556249,0.242055,0.295669,0.315449,0.336409,0.000000,
5,9.563633,9.563633,17.923815,0.578768,0.560769,0.949806,0.736999,0.591171,0.416145,0.221695,0.260130,0.264150,0.258708,1.560970,
6,0.000000,21.096430,44.374040,0.997423,0.983174,0.982086,0.960154,0.980758,0.990569,0.744310,0.953503,0.976924,0.986465,91.497577,
7,0.000000,0.000000,24.324690,0.858617,0.696335,0.956113,0.760031,0.658464,0.639244,0.325553,0.417156,0.461036,0.511265,6.709838,
8,5.845670,5.845670,20.781638,0.699643,0.653653,0.948256,0.700849,0.632384,0.583850,0.247848,0.301448,0.322097,0.344643,7.298609,
9,10.019311,10.019311,21.823912,0.736301,0.679114,0.942376,0.672712,0.605545,0.662007,0.252713,0.315717,0.342979,0.377960,13.577869,
10,0.000000,11.208497,43.238949,0.996991,0.982583,0.976779,0.955431,0.981532,0.991667,0.715061,0.942085,0.971364,0.983992,90.922599,
11,0.000000,0.000000,22.417314,0.773985,0.584018,0.946079,0.733319,0.536645,0.487756,0.286659,0.359678,0.389427,0.421926,0.000000,
12,7.462021,7.462021,20.736110,0.669348,0.560020,0.940568,0.610680,0.502221,0.490235,0.231853,0.279024,0.296165,0.315632,0.000000,
13,0.000000,13.657471,44.109073,0.997660,0.985377,0.978075,0.962351,0.985599,0.992962,0.736420,0.956884,0.979867,0.989047,92.328582,
14,0.000000,0.000000,21.767147,0.751783,0.569970,0.946264,0.616493,0.502420,0.510270,0.257501,0.322588,0.351865,0.389286,0.000000,
15,8.185934,8.185934,19.925713,0.658541,0.561385,0.957019,0.675212,0.552426,0.447609,0.233905,0.279026,0.294103,0.311206,0.000000,
16,6.956398,13.722332,44.247174,0.997649,0.982801,0.979596,0.959149,0.981147,0.991313,0.747297,0.956585,0.979726,0.988934,100.000000,
17,0.000000,6.956398,44.135602,0.997675,0.988455,0.979469,0.963598,0.988037,0.997258,0.740154,0.957683,0.980443,0.989388,93.046839,
18,0.000000,0.000000,20.710896,0.702243,0.553483,0.946644,0.660445,0.545960,0.437931,0.256605,0.314600,0.332559,0.345004,0.000000,
19,10.011740,10.011740,19.567565,0.633289,0.537460,0.951426,0.640500,0.533350,0.412888,0.238664,0.279736,0.287122,0.288633,0.000000,
20,0.000000,16.502581,44.279190,0.997710,0.981346,0.978634,0.958572,0.978097,0.989827,0.742052,0.953255,0.976892,0.987136,91.155703,
21,0.000000,0.000000,20.494405,0.684640,0.567584,0.946194,0.605266,0.532141,0.487525,0.247783,0.296091,0.310044,0.322936,0.000000,
22,10.316021,10.316021,18.218544,0.583376,0.553438,0.942936,0.703413,0.591453,0.402082,0.234042,0.265325,0.266294,0.257894,0.984203,
23,9.954528,19.032269,45.384984,0.997816,0.983640,0.982651,0.956814,0.980316,0.991925,0.767012,0.961461,0.981478,0.989402,100.000000,
24,0.000000,9.954528,44.848002,0.997877,0.983085,0.979705,0.962356,0.981839,0.990024,0.752411,0.960304,0.980595,0.988948,91.854852,
25,0.000000,0.000000,21.322155,0.743242,0.547160,0.935559,0.625461,0.484424,0.473507,0.257976,0.320301,0.347376,0.380863,0.000000,
