Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,44.583242,0.000000,0.000000,0.997151,0.988073,0.982900,0.963216,0.987753,0.995941,0.747083,0.956979,0.979089,0.988156,92.797488,
1,18.779946,0.000000,0.000000,0.599436,0.574067,0.938311,0.667166,0.536215,0.485814,0.216832,0.256173,0.264854,0.267765,0.000000,
2,18.336020,13.715060,13.715060,0.564756,0.597074,0.951252,0.678795,0.568704,0.504825,0.211829,0.244326,0.247531,0.242268,9.358407,
3,42.430485,0.000000,18.419542,0.994775,0.975002,0.978810,0.952761,0.970256,0.983267,0.699360,0.910553,0.949284,0.969420,87.131095,
4,20.994318,0.000000,0.000000,0.704997,0.618510,0.932378,0.622395,0.585988,0.563463,0.242375,0.296380,0.316212,0.337170,0.000000,
5,17.915352,9.563633,9.563633,0.579461,0.561311,0.952493,0.734450,0.593447,0.416061,0.222679,0.260837,0.264682,0.258943,1.567986,
6,43.656374,0.000000,21.096430,0.995853,0.984914,0.985205,0.951940,0.985062,0.993007,0.735267,0.933294,0.963564,0.978173,90.578207,
7,24.282847,0.000000,0.000000,0.856832,0.697138,0.955981,0.759423,0.658822,0.640880,0.324033,0.414365,0.457923,0.508325,6.834098,
8,20.772041,5.845670,5.845670,0.699727,0.652744,0.949881,0.698390,0.630689,0.583212,0.247926,0.301833,0.322505,0.344692,7.167976,
9,21.818603,10.019311,10.019311,0.737650,0.674408,0.944248,0.668531,0.597861,0.657345,0.254140,0.317400,0.344725,0.379717,12.913307,
10,44.319001,0.000000,11.208497,0.996533,0.988469,0.984914,0.966481,0.987500,0.995626,0.743616,0.953540,0.977299,0.987295,92.726390,
11,22.416566,0.000000,0.000000,0.773529,0.584680,0.948777,0.730582,0.533450,0.491096,0.286232,0.359189,0.388958,0.421298,0.000000,
12,20.717746,7.462021,7.462021,0.668964,0.557341,0.940410,0.605272,0.500990,0.486852,0.232402,0.279255,0.296082,0.315204,0.000000,
13,44.251645,0.000000,13.657471,0.996505,0.987540,0.983851,0.966347,0.987075,0.994212,0.740396,0.951060,0.976018,0.986270,92.381859,
14,21.758538,0.000000,0.000000,0.753058,0.570227,0.947590,0.618536,0.501942,0.510235,0.259113,0.324039,0.353134,0.390617,0.000000,
15,19.919524,8.185934,8.185934,0.659433,0.563590,0.957819,0.676009,0.548178,0.453959,0.234354,0.279361,0.294428,0.311469,0.000000,
16,43.082652,6.956398,13.722332,0.995516,0.975032,0.979135,0.946940,0.970727,0.984698,0.722998,0.924198,0.958297,0.975105,96.652732,
17,44.711190,0.000000,6.956398,0.996874,0.989825,0.985087,0.969142,0.989433,0.996533,0.754427,0.958635,0.981012,0.989707,93.384955,
18,20.707298,0.000000,0.000000,0.701653,0.550274,0.947188,0.659219,0.546459,0.431219,0.257259,0.315007,0.332622,0.344840,0.000000,
19,19.558365,10.011740,10.011740,0.632989,0.541951,0.951610,0.643179,0.533446,0.421323,0.238928,0.279769,0.287037,0.288770,0.000000,
20,44.997064,0.000000,16.502581,0.997065,0.989155,0.984641,0.969304,0.988475,0.995840,0.762984,0.957869,0.979672,0.988535,93.077602,
21,20.487942,0.000000,0.000000,0.684689,0.569106,0.947095,0.609167,0.533371,0.488736,0.248004,0.296221,0.310120,0.323239,0.000000,
